application_number,pto_adjustment,pto_delay,applicant_delay,patent_term_extension
07915783,0,0,0,0
07900053,0,2158,0,2158
07920411,0,2658,0,2658
07920869,0,0,0,0
07922116,0,620,0,620
07921508,0,0,0,0
07916087,0,0,0,0
07922391,0,4341,0,4341
07924840,0,0,0,0
07929345,0,0,0,0
07932091,0,2214,0,2214
07932415,0,0,0,0
07935151,0,0,0,0
07934398,0,3486,0,3486
07936532,0,0,0,0
08104264,0,1780,1780,0
07945295,0,1922,0,1922
07943812,0,0,0,0
07944199,0,3552,3552,0
07944562,0,2189,0,2189
07946813,0,0,0,0
07946542,0,0,0,0
07947982,0,0,0,0
07948076,0,0,0,0
07949327,0,0,0,0
07951267,0,0,0,0
07951616,0,0,0,0
07953278,0,3041,0,3041
07956473,0,0,0,0
07957990,0,1848,0,1848
07958426,0,0,0,0
07959317,0,1762,0,1762
07963109,0,0,0,0
07967267,0,582,582,0
07968553,0,0,0,0
07969521,0,0,0,0
07970227,0,0,0,0
07970556,0,3476,0,3476
07974197,0,2130,0,2130
07977163,0,0,0,0
07949851,0,1964,0,1964
07981237,0,4287,0,4287
07985697,0,0,0,0
07985841,0,2347,0,2347
07986571,0,484,0,484
07987546,0,2904,0,2904
07988622,0,2958,0,2958
07988298,0,0,0,0
07991182,0,0,0,0
07989593,0,1676,1676,0
07960421,0,1952,0,1952
07949472,0,0,0,0
07996817,0,522,0,522
07998824,0,3528,0,3528
07997715,0,2252,0,2252
08004500,0,0,0,0
08003996,0,787,0,787
08006682,0,0,0,0
08007756,0,2995,0,2995
08015248,0,0,0,0
08015260,0,0,0,0
08017953,0,4002,0,4002
07971834,0,0,0,0
08018865,0,2115,0,2115
07955726,0,1546,0,1546
08018841,0,2201,0,2201
08019297,0,0,0,0
08019505,0,2857,0,2857
07982949,0,1144,0,1144
08022822,0,0,0,0
08025915,0,0,0,0
08027117,0,0,0,0
08026736,0,426,0,426
08028087,0,1920,0,1920
08033075,0,0,0,0
08029748,0,0,0,0
08032171,0,2150,2150,0
08031801,0,0,0,0
08032525,0,0,0,0
08033311,0,607,607,0
08032569,0,0,0,0
08033468,0,0,0,0
08034532,0,0,0,0
08035348,0,1710,0,1710
08035366,0,1961,1961,0
08035969,0,2009,0,2009
08038587,0,3351,0,3351
08043917,0,1346,0,1346
08046352,0,2746,0,2746
08050957,0,0,0,0
08052671,0,2312,0,2312
08055267,0,0,0,0
08056029,0,0,0,0
08055093,0,0,0,0
08059840,0,1763,0,1763
08060433,0,0,0,0
08062021,0,0,0,0
08104261,0,0,0,0
08064052,0,0,0,0
08067148,0,0,0,0
08068379,0,1466,0,1466
08068480,0,1425,0,1425
08070099,0,0,0,0
08073573,0,1765,0,1765
08079177,0,3474,0,3474
08826990,0,0,0,0
08076587,0,1278,0,1278
08077255,0,0,0,0
08086641,0,2831,0,2831
08081540,0,0,0,0
08123906,0,2587,0,2587
08082328,0,0,0,0
08083391,0,0,0,0
08082956,0,1916,0,1916
08085605,0,2462,0,2462
08086002,0,0,0,0
08087824,0,1356,0,1356
08087548,0,1758,0,1758
08088125,0,2077,0,2077
08088416,0,0,0,0
08089655,0,0,0,0
08090245,0,587,587,0
08091110,0,0,0,0
08091827,0,0,0,0
08091655,0,0,0,0
08092622,0,1832,0,1832
08093983,0,0,0,0
08093901,0,0,0,0
08098945,0,0,0,0
08100019,0,1257,1257,0
08101573,0,1492,0,1492
08102390,0,3017,3017,0
08108133,0,1014,1014,0
08110115,0,2593,2593,0
08110503,0,2480,0,2480
08112204,0,0,0,0
08113265,0,0,0,0
08114595,0,1489,0,1489
08114991,0,1722,0,1722
08117363,0,1844,1844,0
08117453,0,2133,0,2133
08120194,0,0,0,0
08120703,0,794,0,794
08120324,0,0,0,0
08122352,0,0,0,0
08122090,0,0,0,0
08121815,0,1723,0,1723
08122229,0,0,0,0
08122344,0,957,0,957
08123557,0,1442,0,1442
08123864,0,1647,1647,0
08125065,0,0,0,0
08126505,0,0,0,0
08201134,0,0,0,0
08127121,0,0,0,0
08130517,0,1991,0,1991
08131855,0,0,0,0
08134231,0,629,0,629
08134187,0,1296,0,1296
08135046,0,0,0,0
08135319,0,0,0,0
08135764,0,2730,0,2730
08136113,0,2200,0,2200
08138555,0,2260,2260,0
08139363,0,0,0,0
08140753,0,0,0,0
08139693,0,1431,0,1431
08141496,0,107,107,0
08140885,0,0,0,0
08137092,0,458,0,458
08146235,0,654,654,0
08147707,0,1787,0,1787
08147878,0,1548,0,1548
08108606,0,1803,0,1803
08147776,0,1500,0,1500
08148708,0,2005,0,2005
08148887,0,1748,0,1748
08149026,0,0,0,0
08151064,0,0,0,0
08150747,0,1683,0,1683
08151095,0,1102,0,1102
08151615,0,0,0,0
09819186,0,0,0,0
08153263,0,0,0,0
08154162,0,0,0,0
08154126,0,0,0,0
08154051,0,2949,0,2949
08155946,0,1438,0,1438
08108591,0,348,0,348
08156358,0,0,0,0
08070455,0,2000,2000,0
08156727,0,59,0,59
08158299,0,1211,1211,0
08158520,0,1828,0,1828
08159071,0,2300,2300,0
08160392,0,0,0,0
08161194,0,0,0,0
08160835,0,2945,2945,0
08162373,0,0,0,0
08163850,0,1546,0,1546
08157188,0,0,0,0
08164487,0,1736,0,1736
08164950,0,1299,0,1299
08165002,0,0,0,0
08166279,0,0,0,0
08167608,0,1712,1712,0
08168914,0,0,0,0
08169613,0,1472,0,1472
08169621,0,0,0,0
08170111,0,0,0,0
08170603,0,2506,0,2506
08171388,0,0,0,0
08171484,0,0,0,0
08171384,0,2179,0,2179
08171769,0,0,0,0
08171998,0,0,0,0
08173935,0,2234,0,2234
08174957,0,1889,1889,0
08175200,0,1981,0,1981
08175071,0,0,0,0
08175672,0,1574,0,1574
08179508,0,1110,0,1110
08176187,0,1223,0,1223
08176970,0,0,0,0
08177497,0,0,0,0
08178353,0,2112,0,2112
09960106,0,0,0,0
08179656,0,0,0,0
08179444,0,0,0,0
08179970,0,0,0,0
08181396,0,1738,0,1738
08182869,0,0,0,0
08182967,0,0,0,0
08182886,0,1092,0,1092
08183505,0,1951,0,1951
08183608,0,0,0,0
08183332,0,0,0,0
08185079,0,2564,2564,0
08186220,0,0,0,0
08186824,0,0,0,0
08188197,0,0,0,0
08187879,0,0,0,0
08189738,0,1456,0,1456
08192105,0,0,0,0
08192943,0,0,0,0
08193725,0,0,0,0
08182045,0,0,0,0
08195048,0,1491,0,1491
08204808,0,0,0,0
08197501,0,0,0,0
08198542,0,0,0,0
08198955,0,1822,0,1822
08190204,0,0,0,0
08202239,0,0,0,0
08202680,0,0,0,0
08199268,0,0,0,0
08202985,0,0,0,0
08204052,0,1484,0,1484
