application_number,parent_application_number,parent_filing_date,continuation_type
10148607,PCT/IB99/01949,1999-12-07,NST
10148305,PCT/US00/32408,2000-11-29,NST
10148305,60168141,1999-11-29,PRO
10148674,PCT/US00/32676,2000-11-30,NST
10148654,PCT/US00/32431,2000-12-06,NST
10148654,60172610,1999-12-20,PRO
10110506,PCT/US00/28348,2000-10-13,NST
10110506,60159442,1999-10-14,PRO
10110506,60160313,1999-10-19,PRO
10110506,60161026,1999-10-25,PRO
10110506,60161042,1999-10-25,PRO
10089471,PCT/AU00/01162,2000-09-25,NST
10148450,PCT/EP00/12011,2000-11-30,NST
10089671,PCT/US00/27491,2000-10-04,NST
10089894,PCT/AT98/00143,1998-06-10,NST
10148816,PCT/EP00/12756,2000-12-14,NST
10148767,PCT/AT00/00320,2000-11-30,NST
10149167,PCT/DE00/04405,2000-12-08,NST
10089574,PCT/EP00/09517,2000-09-28,NST
10149565,PCT/EP99/09926,1999-12-14,NST
10088739,PCT/EP00/09305,2000-09-22,NST
10148854,PCT/DE00/03912,2000-11-09,NST
10149427,PCT/GB00/04987,2000-12-22,NST
10168049,PCT/DK99/00736,1999-12-23,NST
10149487,PCT/IL00/00828,2000-12-12,NST
10149077,PCT/IL00/00816,2000-12-04,NST
10149604,PCT/GB00/04799,2000-12-14,NST
10149998,PCT/JP00/08897,2000-12-15,NST
10168016,PCT/FI00/01122,2000-12-20,NST
10088891,PCT/US00/26186,2000-09-23,NST
10088891,60156074,1999-09-24,PRO
10168547,PCT/JP00/00032,2000-01-07,NST
10088670,PCT/GB00/03619,2000-09-21,NST
10168446,PCT/EP00/13349,2000-12-21,NST
10148705,PCT/RU00/00482,2000-11-27,NST
10168570,PCT/GB00/04990,2000-12-22,NST
10169790,PCT/JP01/00028,2001-01-04,NST
10169506,PCT/JP00/09350,2000-12-27,NST
10088693,PCT/BR01/00088,2001-07-19,NST
10070942,PCT/US00/24526,2000-09-07,NST
10070942,09393606,1999-09-10,CON
10169286,PCT/EP00/13288,2000-12-27,NST
10148472,PCT/IB00/02008,2000-12-04,NST
10148472,60168631,1999-12-03,PRO
10148472,60220207,2000-07-24,PRO
10148472,60221117,2000-07-27,PRO
10088273,PCT/CA00/01039,2000-09-15,NST
10169956,PCT/CH01/00003,2001-01-03,NST
10070975,PCT/EP00/07340,2000-07-28,NST
10168561,PCT/JP00/09033,2000-12-20,NST
10169844,PCT/KR01/00025,2001-01-08,NST
10172845,09575880,2000-05-22,CON
10169987,PCT/SE01/00064,2001-01-12,NST
10181142,PCT/GB01/00071,2001-01-10,NST
10070186,PCT/US00/18161,2000-06-30,NST
10181205,PCT/DE00/00059,2000-01-10,NST
10181418,PCT/CA01/00056,2001-01-24,NST
10181418,60177361,2000-01-24,PRO
10181465,PCT/FR01/00173,2001-01-19,NST
10181683,PCT/FR01/00167,2001-01-18,NST
10181683,09489336,2000-01-21,CIP
10181542,PCT/US01/00953,2001-01-11,NST
10181869,PCT/HU01/00011,2001-02-05,NST
10181850,PCT/FR01/00077,2001-01-11,NST
10182079,PCT/CA01/00080,2001-01-24,NST
10182079,60177970,2000-01-25,PRO
10181771,PCT/DE01/04338,2001-11-17,NST
10181110,PCT/US01/01378,2001-01-16,NST
10181110,60175828,2000-01-13,PRO
10182103,PCT/US01/02280,2001-01-24,NST
10182103,60177693,2000-01-24,PRO
10070755,PCT/FR99/02176,1999-09-13,NST
10069778,PCT/GB00/03457,2000-09-08,NST
10070051,PCT/SE01/01440,2001-06-21,NST
10182439,PCT/FR01/00261,2001-01-29,NST
10182590,PCT/GR00/00038,2000-12-04,NST
10182575,PCT/GB01/00389,2001-01-31,NST
10181959,PCT/CA99/01053,1999-11-08,NST
10181959,09240619,1999-02-01,CIP
10182922,PCT/GB00/04852,2000-12-18,NST
10182757,PCT/US01/03717,2001-02-05,NST
10182765,PCT/GB01/00446,2001-02-02,NST
10182765,60179934,2000-02-03,PRO
10069858,PCT/GB01/02904,2001-06-28,NST
10069842,PCT/US00/23516,2000-08-25,NST
10181898,PCT/US01/04822,2001-02-15,NST
10182949,PCT/US01/03727,2001-02-05,NST
10182801,PCT/JP01/00742,2001-02-02,NST
10182970,PCT/US01/03095,2001-01-31,NST
10182970,60179195,2000-01-31,PRO
10203174,PCT/EP00/09901,2000-08-09,NST
10203146,PCT/DE01/00405,2001-02-02,NST
10203071,PCT/DE01/00430,2001-01-31,NST
10069834,PCT/GB00/02656,2000-07-11,NST
10182447,PCT/EP01/00900,2001-01-27,NST
10175675,09234297,1999-01-21,CIP
10203389,PCT/ZA01/00011,2001-02-08,NST
10203541,PCT/FR01/00343,2001-02-06,NST
10203336,PCT/US01/03946,2001-02-07,NST
10182864,PCT/SG00/00025,2000-02-11,NST
10203685,PCT/RU01/00425,2001-10-17,NST
10203494,PCT/US01/04515,2001-02-12,NST
10203494,60182017,2000-02-11,PRO
10203494,60206847,2000-05-23,PRO
10203764,PCT/US01/04685,2001-02-14,NST
10182935,PCT/CN01/00061,2001-01-18,NST
10203803,PCT/US01/04432,2001-02-12,NST
10203911,PCT/CA00/00928,2000-08-15,NST
10203682,PCT/GB01/00540,2001-02-09,NST
10182502,PCT/GB01/00309,2001-01-26,NST
10203946,PCT/DE01/04636,2001-12-08,NST
10203585,PCT/GB01/00528,2001-02-09,NST
10182440,PCT/FR01/00262,2001-01-29,NST
10204059,PCT/EP01/00801,2001-01-25,NST
10203723,PCT/GB01/00669,2001-02-16,NST
10181204,PCT/DE00/00058,2000-01-10,NST
10203671,PCT/US01/05240,2001-02-16,NST
10204260,PCT/US01/05585,2001-02-22,NST
10204602,PCT/AU01/00191,2001-02-23,NST
10204261,PCT/US01/05586,2001-02-22,NST
10169957,PCT/GB01/00112,2001-01-11,NST
10204689,PCT/DE01/00468,2001-02-07,NST
10204767,PCT/US01/05014,2001-02-16,NST
10204767,60184557,2000-02-24,PRO
10204716,PCT/DK01/00120,2001-02-21,NST
10204717,PCT/DK01/00119,2001-02-21,NST
10169880,PCT/CA01/00031,2001-01-10,NST
10169880,60175378,2000-01-11,PRO
10169880,60252592,2000-11-24,PRO
10220074,PCT/GB01/00853,2001-02-28,NST
10204663,PCT/DK01/00142,2001-03-05,NST
10220015,PCT/US01/05932,2001-02-26,NST
10220015,60184830,2000-02-24,PRO
10204584,PCT/GB01/00755,2001-02-22,NST
10220176,PCT/US01/07530,2001-03-09,NST
10220176,60188497,2000-03-10,PRO
10220175,PCT/US01/07531,2001-03-09,NST
10220175,60188794,2000-03-13,PRO
10220258,PCT/FR01/00568,2001-02-27,NST
10220059,PCT/IT00/00249,2000-06-16,NST
10220318,PCT/GB01/00880,2001-03-02,NST
10220570,PCT/SE01/00444,2001-03-01,NST
10220613,PCT/EP01/02366,2001-03-02,NST
10181080,PCT/EP01/13105,2001-11-09,NST
10220522,PCT/DE01/00528,2001-02-06,NST
10169932,PCT/US01/00279,2001-01-05,NST
10169932,60174665,2000-01-06,PRO
10168754,PCT/AU00/01542,2000-12-13,NST
10168661,PCT/BE00/00153,2000-12-21,NST
10169244,PCT/FR01/00025,2001-01-04,NST
10169787,PCT/SE01/00051,2001-01-12,NST
10220616,PCT/IB01/00304,2001-03-05,NST
10220900,PCT/GB01/00342,2001-01-26,NST
10220893,PCT/JP01/01216,2001-02-20,NST
10220333,PCT/DE01/00807,2001-02-27,NST
10221001,PCT/NL01/00191,2001-03-08,NST
10220920,PCT/JP01/01517,2001-02-28,NST
10221258,PCT/ES01/00093,2001-03-10,NST
10221500,PCT/FI01/00266,2001-03-16,NST
10221630,PCT/EP01/02927,2001-03-15,NST
10221242,PCT/US01/07095,2001-03-07,NST
10221145,PCT/DE01/02854,2001-07-27,NST
10168460,PCT/US00/35215,2000-12-22,NST
10168460,60173011,1999-12-23,PRO
10168390,PCT/EP00/13041,2000-12-20,NST
10221829,PCT/IB01/00108,2001-01-29,NST
10221346,PCT/ES00/00464,2000-12-07,NST
10239002,PCT/CA01/00349,2001-03-16,NST
10221842,PCT/US01/07866,2001-03-13,NST
10221842,60188776,2000-03-13,PRO
10189030,09871230,2001-05-31,CON
10239250,PCT/EP01/02860,2001-03-14,NST
10149131,PCT/DK00/00668,2000-12-06,NST
10148958,PCT/IB99/00387,1999-03-08,NST
10239460,PCT/AU01/00332,2001-03-26,NST
10239535,PCT/EP01/03272,2001-03-21,NST
10239085,PCT/EP01/03148,2001-03-20,NST
10240067,PCT/EP01/03499,2001-03-28,NST
10239560,PCT/EP01/02514,2001-03-06,NST
10240073,PCT/EP01/01899,2001-02-20,NST
10240133,PCT/US01/10594,2001-03-28,NST
10240133,60193064,2000-03-29,PRO
10239474,PCT/IB01/00486,2001-03-22,NST
10148030,PCT/US00/32198,2000-11-22,NST
10148030,60166823,1999-11-22,PRO
10130477,PCT/FR00/03219,2000-11-19,NST
10240193,PCT/SE01/00692,2001-03-29,NST
10240308,PCT/EP01/03621,2001-03-29,NST
10240506,PCT/IB01/00540,2001-04-02,NST
10130552,PCT/US99/27125,1999-11-16,NST
10240629,PCT/JP01/00956,2001-02-09,NST
10130505,PCT/GB00/04631,2000-12-05,NST
10130505,60169944,1999-12-10,PRO
10240839,PCT/GB01/01465,2001-04-04,NST
10240624,PCT/JP01/01860,2001-03-09,NST
10240416,PCT/US01/40453,2001-04-06,NST
10240416,60195511,2000-04-06,PRO
10240416,60204906,2000-05-16,PRO
10240325,PCT/US01/10764,2001-04-03,NST
10240325,60194030,2000-04-03,PRO
10130689,PCT/IB00/01685,2000-11-16,NST
10130159,PCT/US99/14120,1999-06-23,NST
10130159,60090393,1998-06-23,PRO
10240643,PCT/US01/11060,2001-04-05,NST
10240635,PCT/EP01/04072,2001-04-06,NST
10240520,PCT/US01/10344,2001-03-30,NST
10240520,09618433,2000-07-18,CIP
10240520,09289169,1999-04-09,CIP
10240520,09025114,1998-02-17,CIP
10240520,60193961,2000-03-31,PRO
10250601,PCT/EP02/00451,2002-01-18,NST
10250608,PCT/US02/00549,2002-01-02,NST
10250608,60259725,2001-01-04,PRO
10250878,PCT/US02/00160,2002-01-04,NST
10250957,PCT/LV01/00008,2001-11-14,NST
10240700,PCT/AU01/00366,2001-04-03,NST
10257065,PCT/EP01/04400,2001-04-17,NST
10257023,PCT/FR01/01118,2001-04-11,NST
10257097,PCT/GB01/01031,2001-03-09,NST
10254438,60326929,2001-10-03,PRO
10254438,60373547,2002-04-17,PRO
10257192,PCT/EP01/03300,2001-03-23,NST
10247203,60328371,2001-10-10,PRO
10257409,PCT/JP01/02965,2001-04-05,NST
10130035,PCT/US00/30900,2000-11-10,NST
10130035,60165079,1999-11-12,PRO
10257178,PCT/CH01/00181,2001-03-21,NST
10257290,PCT/NL01/00286,2001-04-10,NST
10257547,PCT/GR01/00019,2001-04-12,NST
10257535,PCT/US02/32598,2002-10-11,NST
10257535,09978939,2001-10-18,CON
10257754,PCT/AU01/00442,2001-04-18,NST
10257611,PCT/US01/12176,2001-04-13,NST
10257611,60197136,2000-04-14,PRO
10129799,PCT/IB01/01250,2001-07-13,NST
10257690,PCT/US01/40517,2001-04-13,NST
10257750,PCT/CH01/00195,2001-03-30,NST
10257781,PCT/CH01/00197,2001-03-30,NST
10257782,PCT/CH01/00196,2001-03-30,NST
10257785,PCT/CH01/00198,2001-03-30,NST
10257867,PCT/CA01/00625,2001-04-30,NST
10257138,PCT/EP01/04358,2001-04-17,NST
10258001,PCT/IB01/00058,2000-04-17,NST
10129334,PCT/FR00/03212,2000-11-17,NST
10257887,PCT/GB01/01754,2001-04-18,NST
10129243,PCT/US00/29990,2000-10-30,NST
10129243,60162349,1999-10-29,PRO
10258126,PCT/SE00/00696,2000-04-12,NST
10258192,PCT/BE00/00037,2000-04-21,NST
10258514,PCT/US98/26591,1998-12-15,NST
10258591,PCT/US02/30159,2002-09-23,NST
10258591,60324299,2001-09-24,PRO
10258547,PCT/US01/13336,2001-04-25,NST
10258547,60199389,2000-04-25,PRO
10258274,PCT/US01/12902,2001-04-19,NST
10258274,60199010,2000-04-20,PRO
10258274,60202340,2000-05-05,PRO
10258274,60203424,2000-05-10,PRO
10258274,60205642,2000-05-18,PRO
10258274,60208854,2000-06-02,PRO
10258716,PCT/EP01/04649,2001-04-25,NST
10258754,PCT/US00/11101,2000-04-25,NST
10258652,PCT/DE01/01607,2001-04-25,NST
10258739,PCT/FR02/00730,2002-02-28,NST
10258730,PCT/NO01/00185,2001-04-30,NST
10258872,PCT/EP01/02204,2001-10-17,NST
10258056,PCT/GB01/01809,2001-04-24,NST
10257510,PCT/EP01/04095,2001-04-10,NST
10257584,PCT/EP01/01599,2001-02-14,NST
10257414,PCT/AU01/00513,2001-05-04,NST
10258824,PCT/US01/13255,2001-04-25,NST
10258824,60199579,2000-04-25,PRO
10240918,PCT/DE00/00355,2000-02-04,NST
10275320,PCT/IB01/00638,2001-04-04,NST
10275027,PCT/US01/02623,2001-01-25,NST
10275711,PCT/GB01/02001,2001-05-08,NST
10275711,60207275,2000-05-30,PRO
10257177,PCT/CH01/00182,2001-03-21,NST
10275466,PCT/EP01/05071,2001-05-04,NST
10276348,PCT/US00/21982,2000-09-25,NST
10258794,PCT/FR01/01337,2001-04-30,NST
10250303,PCT/GB01/05319,2001-11-30,NST
10276311,PCT/CA01/00611,2001-05-03,NST
10240865,PCT/US01/11150,2001-04-05,NST
10240865,09543188,2000-04-05,CON
10258841,PCT/FR01/01324,2001-04-27,NST
10276470,PCT/EP01/05516,2001-05-15,NST
10240876,PCT/US01/11474,2001-04-05,NST
10240876,60196016,2000-04-07,PRO
10258899,PCT/US01/04098,2001-02-05,NST
10258899,09496914,2000-02-03,CIP
10258899,09353690,1999-07-14,CIP
10258899,09034341,1998-02-13,CIP
10258899,09045400,1998-03-30,CIP
10276530,PCT/IB01/00853,2001-04-27,NST
10276595,PCT/US01/15543,2001-05-15,NST
10276595,09571195,2000-05-16,CIP
10240515,PCT/IB01/00525,2001-04-02,NST
10276871,PCT/GB01/02214,2001-05-18,NST
10276978,PCT/IB01/01137,2001-05-24,NST
10276978,60206788,2000-05-24,PRO
10276475,PCT/GB01/02156,2001-05-16,NST
10296192,PCT/US01/19085,2001-06-15,NST
10296192,60211718,2000-06-15,PRO
10240304,PCT/IB01/00526,2001-04-02,NST
10296421,PCT/FR01/01608,2001-05-23,NST
10276781,PCT/US01/02687,2001-01-25,NST
10276781,09491404,2000-01-25,CIP
10276781,09617746,2000-07-17,CIP
10276781,09631451,2000-08-03,CIP
10276781,09663870,2000-09-15,CIP
10296706,PCT/DE02/00800,2002-03-05,NST
10240206,PCT/CA01/00075,2001-02-01,NST
10240206,09537655,2000-03-29,CIP
10296695,PCT/US01/17750,2001-06-01,NST
10296695,60209097,2000-06-02,PRO
10297011,PCT/AU01/00599,2001-05-23,NST
10239690,PCT/EP01/02455,2001-03-05,NST
10296917,PCT/EP01/06173,2001-05-30,NST
10297084,PCT/EP01/06194,2001-05-31,NST
10296780,PCT/US01/17175,2001-05-25,NST
10239450,PCT/US02/19343,2002-06-17,NST
10239450,60299316,2001-06-18,PRO
10239450,60336219,2001-10-31,PRO
10239450,60340760,2001-12-11,PRO
10296537,PCT/US01/17765,2001-06-01,NST
10297230,PCT/US01/17792,2001-05-31,NST
10239597,PCT/US99/19026,1999-08-20,NST
10239457,PCT/CA01/00397,2001-03-23,NST
10239457,60191476,2000-03-23,PRO
10239457,60207965,2000-05-31,PRO
10239457,60226564,2000-08-21,PRO
10297110,PCT/GB01/01106,2001-03-14,NST
10297340,PCT/IB01/01668,2001-05-29,NST
10297015,PCT/IB01/01663,2001-05-29,NST
10239530,PCT/US00/07582,2000-03-22,NST
10220701,PCT/JP01/01716,2001-03-06,NST
10236190,60315528,2001-08-29,PRO
10297422,PCT/DE01/02086,2001-06-06,NST
10275300,PCT/IB01/00960,2001-05-04,NST
10297091,PCT/EP01/06187,2001-05-31,NST
10297549,PCT/KR00/00592,2000-04-07,NST
10221649,PCT/US01/08200,2001-03-15,NST
10297397,PCT/US01/40886,2001-06-06,NST
10297397,60209764,2000-06-06,PRO
10297587,PCT/GB01/02692,2001-06-15,NST
10221627,PCT/US01/07957,2001-03-13,NST
10221627,60188990,2000-03-13,PRO
10297638,PCT/CA01/00801,2001-06-05,NST
10297638,60208902,2000-06-05,PRO
10297638,60243566,2000-10-27,PRO
10297638,60281381,2001-04-05,PRO
10297591,PCT/IB01/01040,2001-06-14,NST
10297604,PCT/EP01/06722,2001-06-13,NST
10297545,PCT/EP01/06554,2001-06-08,NST
10297464,PCT/US01/16997,2001-05-24,NST
10297464,60206836,2000-05-24,PRO
10305781,09244386,1999-02-04,REI
10297979,PCT/GB01/02554,2001-06-11,NST
10311068,PCT/US01/19230,2001-06-15,NST
10311068,60211536,2000-06-15,PRO
10311113,PCT/IB01/01478,2001-06-14,NST
10311113,60211499,2000-06-14,PRO
10297570,PCT/EP01/06588,2001-06-11,NST
10311215,PCT/IB01/01037,2001-06-14,NST
10297457,PCT/US01/16744,2001-05-24,NST
10297457,60206881,2000-05-24,PRO
10311242,PCT/EP01/06649,2001-06-12,NST
10311138,PCT/US00/31263,2000-11-14,NST
10311138,60211264,2000-06-13,PRO
10311138,60211064,2000-06-13,PRO
10311138,60211250,2000-06-13,PRO
10311138,60211459,2000-06-13,PRO
10311138,60211253,2000-06-13,PRO
10311138,60211311,2000-06-13,PRO
10311138,60211340,2000-06-13,PRO
10311138,60211451,2000-06-13,PRO
10311138,60221358,2000-07-27,PRO
10311138,60221364,2000-07-27,PRO
10311138,60233056,2000-09-14,PRO
10311549,PCT/GB01/02577,2001-06-13,NST
10311521,PCT/IL01/00547,2001-06-14,NST
10220559,PCT/JP01/01535,2001-02-28,NST
10311590,PCT/SE01/01397,2001-06-20,NST
10297759,PCT/GB01/02497,2001-06-07,NST
10311194,PCT/US00/31155,2000-11-14,NST
10311194,60211264,2000-06-13,PRO
10311194,60211064,2000-06-13,PRO
10311194,60211250,2000-06-13,PRO
10311194,60211253,2000-06-13,PRO
10311194,60211311,2000-06-13,PRO
10311900,PCT/EP01/05282,2001-05-09,NST
10311384,PCT/GB01/02613,2001-06-15,NST
10297460,PCT/US01/16998,2001-05-24,NST
10311931,PCT/RU01/00364,2001-06-19,NST
10311964,PCT/IB01/01104,2001-06-22,NST
10311964,60213848,2000-06-23,PRO
10311964,60214087,2000-06-23,PRO
10311964,60258692,2000-12-29,PRO
10311986,PCT/EP01/06822,2001-06-15,NST
10220660,PCT/US01/07806,2001-03-12,NST
10312075,PCT/GB01/02809,2001-06-26,NST
10311531,PCT/DE02/01234,2002-04-04,NST
10220400,PCT/FI01/00204,2001-03-01,NST
10220390,PCT/US01/08571,2001-02-20,NST
10220177,PCT/US01/07479,2001-03-09,NST
10312142,PCT/EP01/05983,2001-05-25,NST
10312239,PCT/GB01/02886,2001-07-02,NST
10204230,PCT/US01/05546,2001-02-21,NST
10204230,60183849,2000-02-22,PRO
10312369,PCT/AU01/00752,2001-06-25,NST
10312390,PCT/BR01/00101,2001-08-17,NST
10312479,PCT/US01/20056,2001-06-21,NST
10311825,PCT/US01/02570,2001-01-25,NST
10311825,09491404,2000-01-25,CIP
10311825,09496914,2000-02-03,CIP
10311825,09353690,1999-07-14,CIP
10311825,09034341,1998-02-13,CIP
10311825,09045400,1998-03-30,CIP
10311825,09519705,2000-03-07,CIP
10311825,09560875,2000-04-27,CIP
10311825,09496914,2000-02-03,CIP
10311825,09524454,2000-03-10,CIP
10311825,09642610,2000-08-17,CIP
10311825,09491404,2000-01-25,CIP
10311825,09751518,2000-12-29,CIP
10311825,09642610,2000-08-17,CIP
10311825,09560875,2000-04-27,CIP
10311825,09496914,2000-02-03,CIP
10311825,09491404,2000-01-25,CIP
10311825,09574454,2000-05-19,CIP
10311825,09519705,2000-03-07,CIP
10311298,PCT/US01/19330,2001-06-15,NST
10311298,60211783,2000-06-19,PRO
10312267,PCT/US01/03783,2001-02-05,NST
10312267,09496914,2000-02-03,CIP
10312267,09353690,1999-07-14,CIP
10312267,09034341,1998-02-13,CIP
10312267,09045400,1998-03-30,CIP
10203785,PCT/JP01/07585,2001-09-03,NST
10204118,PCT/US01/40122,,NST
10204118,60183406,2000-02-18,PRO
10204134,PCT/EP01/00669,2001-01-19,NST
10312877,PCT/JP01/05852,2001-07-05,NST
10332226,PCT/IB01/01171,2001-07-02,NST
10312310,PCT/US01/03661,2001-02-02,NST
10312310,09496914,2000-02-03,CIP
10312310,09353690,1999-07-14,CIP
10312310,09034341,1998-02-13,CIP
10312310,09045400,1998-03-30,CIP
10204095,PCT/GR01/00010,2001-02-15,NST
10312967,PCT/EP01/07726,2001-07-05,NST
10332053,PCT/DE01/02394,2001-06-28,NST
10332206,PCT/BR01/00084,2001-07-02,NST
10312791,PCT/DE01/02429,2001-06-29,NST
10203855,PCT/GB00/00499,2000-02-15,NST
10332309,PCT/US01/15647,2001-05-15,NST
10332309,60204223,2000-05-15,PRO
10312986,PCT/JP01/05867,2001-07-05,NST
10332104,PCT/EP02/04940,2002-05-03,NST
10332313,PCT/CA01/01002,2001-07-06,NST
10332430,PCT/IB01/01536,2001-07-12,NST
10203722,PCT/GB01/00675,2001-02-16,NST
10182252,PCT/DK01/00059,2001-01-29,NST
10332496,PCT/BR01/00085,2001-07-05,NST
10332513,PCT/DE01/02379,2001-06-27,NST
10332498,PCT/NO01/00299,2001-07-12,NST
10332565,PCT/AU01/00829,2001-07-10,NST
10332566,PCT/AU01/00836,2001-07-12,NST
10332709,PCT/IB01/01343,2001-07-11,NST
10332570,PCT/JP01/05965,2001-07-10,NST
10332680,PCT/US01/12459,2001-04-17,NST
10332051,PCT/AU01/00790,2001-07-03,NST
10332257,PCT/US01/21406,2001-07-06,NST
10332257,60216827,2000-07-07,PRO
10332789,PCT/US01/22103,2001-07-13,NST
10332523,PCT/DE01/02416,2001-07-05,NST
10332564,PCT/AU01/00837,2001-07-12,NST
10332354,PCT/EP01/07259,2001-06-26,NST
10332013,PCT/EP01/07523,2001-07-02,NST
10332877,PCT/US01/22077,2001-07-13,NST
10332877,60218051,2000-07-13,PRO
10332853,PCT/CA01/01018,2001-07-16,NST
10332853,60218159,2000-07-14,PRO
10332853,60218160,2000-07-14,PRO
10312775,PCT/MX01/00047,2001-07-05,NST
10332910,PCT/GB01/00705,2001-02-21,NST
10333046,PCT/DE02/01753,2002-05-15,NST
10333058,PCT/NL01/00543,2001-07-16,NST
10333249,PCT/JP01/06337,2001-07-23,NST
10333128,PCT/CU01/00005,2001-07-17,NST
10312793,PCT/NL01/00450,2001-06-15,NST
10312411,PCT/AU01/00779,2001-06-28,NST
10333033,PCT/EP01/07767,2001-07-06,NST
10312584,PCT/JP01/06120,2001-07-16,NST
10333209,PCT/EP02/05377,2002-05-16,NST
10333442,PCT/US01/40094,2001-02-12,NST
10312268,PCT/US01/03905,2001-02-05,NST
10312378,PCT/DE01/01494,2001-04-18,NST
10333188,PCT/US01/22556,2001-07-17,NST
10333188,60218725,2000-07-17,PRO
10333517,PCT/EP00/08802,2000-09-08,NST
10333595,PCT/RO01/00021,2001-11-15,NST
10333761,PCT/US01/23311,2001-07-23,NST
10333761,60220057,2000-07-21,PRO
10333696,PCT/US01/23454,2001-07-25,NST
10333696,09638979,2000-08-15,CON
10312342,PCT/EP01/07477,2001-06-29,NST
10333577,PCT/RU01/00579,2001-12-26,NST
10312132,PCT/GB01/02753,2001-06-20,NST
10333636,PCT/US01/02099,2001-01-23,NST
10333636,09627216,2000-07-27,CIP
10333636,60147719,1999-08-06,PRO
10258144,PCT/US01/12449,2001-04-17,NST
10258144,60197462,2000-04-17,PRO
10312141,PCT/EP01/05984,2001-05-25,NST
10311902,PCT/EP01/05541,2001-05-16,NST
10304399,10126145,2002-04-19,CIP
10304399,60372619,2002-04-12,PRO
10297757,PCT/IL01/00523,2001-06-07,NST
10297550,PCT/CA01/00827,2001-06-06,NST
10343456,PCT/FR01/02423,2001-07-25,NST
10343554,PCT/US01/24366,2001-08-02,NST
10343554,60222683,2000-08-02,PRO
10343568,PCT/IB00/01089,2000-08-03,NST
10343479,PCT/CA01/01092,2001-07-27,NST
10343942,PCT/DE01/02698,2001-07-18,NST
10343898,PCT/EP01/08477,2001-07-23,NST
10343763,PCT/FR00/02099,2000-07-21,NST
10343838,PCT/DE01/02988,2001-08-04,NST
10297344,PCT/FR01/01448,2001-05-14,NST
10344144,PCT/SE01/01739,2001-08-10,NST
10343816,PCT/US01/24030,2001-07-31,NST
10343816,60223282,2000-08-03,PRO
10343779,PCT/GB00/03416,2000-09-06,NST
10344089,PCT/IL01/00733,2001-08-08,NST
10344089,60223727,2000-08-08,PRO
10344252,PCT/GB01/03477,2001-08-03,NST
10344347,PCT/GB01/03622,2001-08-13,NST
10344180,PCT/GB01/03490,2001-08-02,NST
10344346,PCT/FR01/02589,2001-08-09,NST
10297213,PCT/FR01/01677,2001-05-30,NST
10344357,PCT/GB01/03570,2001-08-08,NST
10297041,PCT/IB01/01656,2001-06-29,NST
10344385,PCT/US02/04769,2002-02-14,NST
10344303,PCT/US01/25046,2001-08-09,NST
10344303,60224111,2000-08-09,PRO
10344124,PCT/IB01/00189,2001-02-15,NST
10344386,PCT/US02/19983,2002-06-21,NST
10344406,PCT/GB01/03598,2001-08-13,NST
10344592,PCT/US01/25687,2001-08-16,NST
10344592,60225551,2000-08-16,PRO
10344592,60226609,2000-08-21,PRO
10344627,PCT/US01/41676,2001-08-10,NST
10276839,PCT/US01/15687,2001-05-16,NST
10276839,60204837,2000-05-17,PRO
10276839,60206769,2000-05-23,PRO
10344629,PCT/US01/26740,2001-08-27,NST
10344629,60229083,2000-08-30,PRO
10343536,PCT/US01/24542,2001-08-01,NST
10296817,PCT/EP01/02747,2001-03-12,NST
10276741,PCT/EP01/05719,2001-05-18,NST
10276100,PCT/US01/15304,2001-05-11,NST
10276100,60204214,2000-05-12,PRO
10276100,60209051,2000-06-02,PRO
10275823,PCT/EP01/05165,2001-05-07,NST
10344594,PCT/US01/26391,2001-08-23,NST
10344794,PCT/US01/26110,2001-08-20,NST
10344820,PCT/MX01/00064,2001-08-15,NST
10344826,PCT/EP01/09172,2001-08-08,NST
10362003,PCT/BE01/00139,2001-08-20,NST
10362003,60261106,2001-01-12,PRO
10362155,PCT/GB01/01860,2002-10-27,NST
10362023,PCT/AU01/01007,2001-08-14,NST
10362008,PCT/DE01/03061,2001-08-17,NST
10362064,PCT/GB01/03695,2001-08-17,NST
10362064,60247994,2000-11-14,PRO
10275779,PCT/GB01/02119,2001-05-14,NST
10362061,PCT/EP01/09102,2002-02-28,NST
10275689,PCT/EP01/05330,2001-05-10,NST
10258664,PCT/US01/13209,2001-04-25,NST
10258470,PCT/GB01/01954,2001-05-04,NST
10344790,PCT/US01/25812,2001-08-16,NST
10344790,60225987,2000-08-16,PRO
10362314,PCT/GB01/03739,2001-08-21,NST
10362423,PCT/EP01/09864,2001-08-27,NST
10362712,PCT/IL01/00045,2001-01-18,NST
10362439,PCT/IB01/01516,2001-08-22,NST
10362766,PCT/SE01/01804,2001-08-23,NST
10362959,PCT/US01/26584,2001-08-22,NST
10362959,09645691,2000-08-24,CIP
10362713,PCT/IB01/00054,2001-01-19,NST
10363030,PCT/DK00/00486,2000-09-04,NST
10363108,PCT/AU01/00773,2001-06-28,NST
10363187,PCT/US01/27456,2001-09-04,NST
10362528,PCT/US01/25296,2001-08-14,NST
10362528,60227471,2000-08-24,PRO
10362727,PCT/US01/26516,2001-08-27,NST
10362727,60228042,2000-08-25,PRO
10362965,PCT/US01/26831,2001-08-28,NST
10257951,PCT/US01/11730,2001-04-25,NST
10257951,60199388,2000-04-25,PRO
10363314,PCT/SE01/01889,2001-09-05,NST
10363327,PCT/US01/41927,2001-08-28,NST
10363327,60228579,2000-08-29,PRO
