application_number,foreign_parent_id,foreign_parent_date,parent_country
08030312,2297/90,1990-09-24,DENMARK
08793324,P 44 33 047.2,1994-09-16,GERMANY
08973064,95107719.9,1995-05-26,UNITED KINGDOM
09011806,110464,1994-07-26,ISRAEL
09029751,1001121,1995-09-01,NETHERLANDS
09117064,PO 2720,1995-12-07,AUSTRALIA
09117064,PO 4008,1996-05-31,AUSTRALIA
09117064,PN 7009,1996-10-02,AUSTRALIA
09092710,19630 A/87,1987-03-09,ITALY
09160474,PN8752,1996-03-19,AUSTRALIA
09011148,7/174778,1995-07-11,JAPAN
07098353,P35 23 540.3,1985-07-02,GERMANY
07663952,180471/1989,1989-07-14,JAPAN
07663952,180472/1989,1989-07-14,JAPAN
07663952,180473/1989,1989-07-14,JAPAN
07663952,241929/1989,1989-09-20,JAPAN
07663952,325870/1989,1989-12-18,JAPAN
07663952,140011/1990,1990-05-31,JAPAN
09202099,9612162.9,1996-06-11,UNITED KINGDOM
09202099,9612163.7,1996-06-11,UNITED KINGDOM
09242564,PO 1724,1996-08-19,AUSTRALIA
09242564,PO 4708,1997-01-20,AUSTRALIA
09224275,HEI 4-83551,1992-04-06,JAPAN
09224275,HEI 4-198161,1992-07-24,JAPAN
09284298,82/96,1996-10-03,CUBA
09319408,9625443.8,1996-12-06,UNITED KINGDOM
09355899,PCT/GB98/00240,1998-02-05,UNITED KINGDOM
09381210,1637397,1997-03-19,AUSTRALIA
09380925,S970189,1997-03-13,IRELAND
09155835,197 04 104.3,1997-02-04,GERMANY
09159726,44 20 877.4,1994-06-15,GERMANY
09403819,PO 6529,1997-04-30,AUSTRALIA
09428462,198 49 690.7,1998-10-28,GERMANY
09428462,199 22 972.4,1999-05-19,GERMANY
09445866,9807726.6,1998-04-14,UNITED KINGDOM
09463210,PP 1508,1998-01-27,AUSTRALIA
09463347,2211293,1997-07-23,CANADA
09486738,9718185.3,1997-08-29,UNITED KINGDOM
09486297,1006862,1997-08-27,NETHERLANDS
09486737,97/11105,1997-09-03,FRANCE
09487968,9900072-1,1999-10-04,SWEDEN
09284322,8-297738,1996-10-21,JAPAN
09463807,9716151.7,1997-08-01,UNITED KINGDOM
09510668,6-249859,1994-10-14,JAPAN
09529014,P 9801696,1998-08-06,SPAIN
09530230,97/13449,1997-10-27,FRANCE
09462449,60053362,1997-07-22,UNITED STATES OF AMERICA
09582574,9727165.4,1997-12-24,UNITED KINGDOM
09582397,10-304085,1998-10-26,JAPAN
09622746,9901339-3,1999-04-15,SWEDEN
09622770,9803749.2,1998-02-23,UNITED KINGDOM
09623769,97108639,1997-06-09,RUSSIAN FEDERATION
09623864,198 11 203.3,1998-03-10,GERMANY
09554928,97/15192,1997-11-28,FRANCE
09601437,198 03 530.6,1998-01-30,GERMANY
09673020,98302785.5,1998-04-09,EUROPEAN PATENT OFFICE (EPO)
09673577,198 17 235.4,1998-04-18,GERMANY
09674390,A 350/99,1999-03-02,AUSTRIA
09529846,9722128.7,1997-10-21,UNITED KINGDOM
09700225,198 21 695.5,1998-05-14,GERMANY
09674713,9809603.5,1998-05-07,UNITED KINGDOM
09700153,PP3486,1998-05-12,AUSTRALIA
09700153,PP5590,1998-08-31,AUSTRALIA
09678513,PA 1999 01473,1999-10-14,DENMARK
09700457,9810537.2,1998-05-15,UNITED KINGDOM
09700457,9816945.1,1998-08-04,UNITED KINGDOM
09700250,98/06090,1998-05-14,FRANCE
09701533,9811503.3,1998-05-28,UNITED KINGDOM
09701954,198 24 997.7,1998-06-05,GERMANY
09720040,9813584.1,1998-06-24,UNITED KINGDOM
09720125,9813699.3,1998-06-26,UNITED KINGDOM
09720315,198 28 577. 9,1998-06-26,GERMANY
09701757,198 24 742. 7,1998-06-03,GERMANY
09719381,9814199.7,1998-06-30,UNITED KINGDOM
09674929,11-061283,1999-03-09,JAPAN
09743018,PP4603,1998-07-10,AUSTRALIA
09744718,"2,273,570",1999-05-31,CANADA
09744837,PCT/US98/15873,1998-07-30,UNITED STATES OF AMERICA
09762403,9817196.0,1998-08-07,UNITED KINGDOM
09762403,9828777.4,1998-12-29,UNITED KINGDOM
09762864,9817787.6,1998-08-15,UNITED KINGDOM
09762864,9915466.8,1999-07-02,UNITED KINGDOM
09719273,9812660.0,1998-06-11,UNITED KINGDOM
09719273,9820816.8,1998-09-24,UNITED KINGDOM
09763395,198 37 288.4,1998-08-18,GERMANY
09762154,98202634.6,1998-08-04,EUROPEAN PATENT OFFICE (EPO)
09601531,102978,1998-12-02,BULGARIA
09623489,99/00394,1999-01-15,FRANCE
09623066,98103307.9,1998-02-25,EUROPEAN PATENT OFFICE (EPO)
09622034,0247/98,1998-02-23,DENMARK
09786976,11/272128,1999-09-27,JAPAN
09787369,98307563.1,1998-09-17,EUROPEAN PATENT OFFICE (EPO)
09787261,09156253,1998-09-18,UNITED STATES OF AMERICA
09806168,98402381.2,1998-09-28,EUROPEAN PATENT OFFICE (EPO)
09786950,198-41-941.4,1998-09-14,GERMANY
09786950,198-56-066.4,1998-12-04,GERMANY
09787837,9902406.9,1999-02-03,UNITED KINGDOM
09787837,9820945.5,1998-09-25,UNITED KINGDOM
09806333,9821025.5,1998-09-29,UNITED KINGDOM
09806644,PP 6338,1998-10-02,AUSTRALIA
09787983,9820817.6,1998-09-28,UNITED KINGDOM
09806988,P 9802091,1998-10-08,SPAIN
09786203,11/233597,1999-08-20,JAPAN
09806526,PP 6275,1998-10-01,AUSTRALIA
09763097,109 37 372.4,1998-08-18,GERMANY
09763097,198 47 325.7,1998-10-14,GERMANY
09763080,9818133.2,1998-08-19,UNITED KINGDOM
09743756,19983255,1998-09-15,NORWAY
09807991,98/13811,1998-11-03,FRANCE
09720507,199 21 037.3,1999-05-08,GERMANY
09720507,199 37 847.9,1999-08-17,GERMANY
09720507,100 21 652.8,2000-05-04,GERMANY
09700837,9810997.8,1998-05-21,UNITED KINGDOM
09701238,128587,1999-02-18,ISRAEL
09701238,129439,1999-04-14,ISRAEL
09701238,1311363,1999-08-11,ISRAEL
09830184,198-48.548.4,1998-10-21,GERMANY
09807275,9822450.4,1998-10-14,UNITED KINGDOM
09807835,9822763.0,1998-10-20,UNITED KINGDOM
09787207,98203083.5,1998-09-15,EUROPEAN PATENT OFFICE (EPO)
09803798,9814316.7,1998-07-02,UNITED KINGDOM
09803798,9821732.6,1998-10-06,UNITED KINGDOM
09803798,9902935.7,1999-02-10,UNITED KINGDOM
09803798,9914601.1,1999-06-22,UNITED KINGDOM
09803798,9914709.2,1999-06-23,UNITED KINGDOM
09803798,9915096.3,1999-06-28,UNITED KINGDOM
09803798,9927501.8,1999-11-19,UNITED KINGDOM
09807843,10/296465,1998-10-19,JAPAN
09830681,10/306234,1998-10-29,JAPAN
09830370,198 47 610.8,1998-10-15,UNITED KINGDOM
09830370,199 27 465.7,1999-06-16,UNITED KINGDOM
09830370,199 41 969.8,1999-09-03,UNITED KINGDOM
09831113,982416,1998-11-06,FINLAND
09831285,198 51 367.4,1998-11-06,GERMANY
09856055,98/10502,1998-11-17,SOUTH AFRICA
09856908,198 56 772.3,1998-11-30,GERMANY
09856606,198552572,1998-11-30,GERMANY
09857276,198 55 841.4,1998-12-03,GERMANY
09856288,19853819.7,1998-11-21,GERMANY
09857387,PCTUS9826154,1998-12-08,UNITED STATES OF AMERICA
09857594,9826855.0,1998-12-08,GERMANY
09831594,PP 4744,1998-07-17,AUSTRALIA
09857879,98/16284,1998-12-18,FRANCE
09857854,197410316,1997-09-18,GERMANY
09868229,9827901.1,1998-12-19,UNITED KINGDOM
09857855,1998 00904,1998-07-06,DENMARK
09857855,1998 01048,1998-08-19,DENMARK
09857855,1998 01265,1998-10-06,DENMARK
09857817,98/15849,1998-12-11,FRANCE
09857817,99/09489,1999-07-19,FRANCE
09868735,P 9802974,1998-12-19,HUNGARY
09868164,60112541,1998-12-16,UNITED STATES OF AMERICA
09868837,708/BOM/99,1999-10-15,INDIA
09869114,19859720.7,1998-12-23,GERMANY
09869548,98/16739,1998-12-31,FRANCE
09857152,9804178-3,1998-12-03,SWEDEN
09869191,98 16459,1998-12-24,FRANCE
09869113,9828548.9,1998-12-23,UNITED KINGDOM
09889185,198 60 931.0,1998-12-30,GERMANY
09889386,299 00 874.6,1999-01-20,GERMANY
09889240,11/144251,2000-05-25,JAPAN
09889240,200037895,2000-02-16,JAPAN
09889240,2000153553,2000-05-24,JAPAN
09889056,PCT/US99/00797,1999-01-14,UNITED STATES OF AMERICA
09889678,PCT/US97/17836,1997-10-01,UNITED STATES OF AMERICA
09889927,9927757.6,1999-11-25,UNITED KINGDOM
09889353,198 45 439.2,1998-10-02,GERMANY
09890151,11-233321,1999-01-29,JAPAN
09889975,9902070.3,1999-01-29,UNITED KINGDOM
09890386,PP8393,1999-01-29,AUSTRALIA
09890852,199 04 548.8,1999-02-04,GERMANY
09889541,9901046.4,1999-01-18,UNITED KINGDOM
09890937,199 58 373.0,1999-12-06,GERMANY
09890965,99300977.8,1999-02-10,EUROPEAN PATENT OFFICE (EPO)
09890847,199 04 285.3,1999-02-03,GERMANY
09913041,128471,1999-02-10,ISRAEL
09890633,9902399.6,1999-02-03,UNITED KINGDOM
09890098,29902208.0,1999-01-28,GERMANY
09890098,29902246.3,1999-02-02,GERMANY
09913389,0332/99,1999-02-22,SWITZERLAND
09913341,PP8635,1999-02-12,AUSTRALIA
09913396,99 01799,1999-02-15,FRANCE
09913749,9903790.5,1999-02-19,UNITED KINGDOM
09868420,9827592.8,1998-12-15,UNITED KINGDOM
09868420,9827592.8,1998-12-15,UNITED KINGDOM
09913797,9904163.4,1999-02-23,UNITED KINGDOM
09913750,9903789.7,1999-02-19,UNITED KINGDOM
09913968,9903842.4,1999-02-20,UNITED KINGDOM
09914034,19990818,1999-02-22,NORWAY
09914058,199 07 875.0,1999-02-23,GERMANY
09913135,9902696.5,1999-02-09,UNITED KINGDOM
09914654,9904598.1,1999-03-01,UNITED KINGDOM
09914654,9914753.0,1999-06-24,UNITED KINGDOM
09914663,09260812,1999-03-02,UNITED STATES OF AMERICA
09890891,9902919.1,1999-02-09,UNITED KINGDOM
09914981,19909690.2,1999-03-05,GERMANY
09914455,99/02819,1999-03-08,FRANCE
09926410,99/05374,1999-04-28,FRANCE
09926463,99/05843,1999-05-07,FRANCE
09868218,9827964.9,1998-12-19,UNITED KINGDOM
09926703,60194859,2000-04-06,UNITED STATES OF AMERICA
09926663,"2,302,905",2000-03-29,CANADA
09936139,11/60136,1999-03-08,JAPAN
09936139,11/263282,1999-09-17,JAPAN
09926728,9902190-9,1999-06-10,SWEDEN
09936562,199 11 776.4,1999-03-17,GERMANY
09936791,99 03430,1999-03-19,FRANCE
09857842,601672734,1999-10-29,UNITED STATES OF AMERICA
09936709,9906056.8,1999-03-17,UNITED KINGDOM
09936709,9925985.5,1999-11-02,UNITED KINGDOM
09936626,10001532.8,2000-01-15,EUROPEAN PATENT OFFICE (EPO)
09831464,98120377,1998-11-10,RUSSIAN FEDERATION
09926552,M199A001080,1999-05-18,ITALY
09937138,99460020.3,1999-03-22,EUROPEAN PATENT OFFICE (EPO)
09936876,PP 9247,1999-03-17,AUSTRALIA
09936808,PP 9277,1999-03-18,AUSTRALIA
09937496,9907516.0,1999-04-01,UNITED KINGDOM
09937443,9907665.5,1999-04-01,UNITED KINGDOM
09937536,9907114.4,1999-03-26,UNITED KINGDOM
09937536,9928678.3,1999-12-03,UNITED KINGDOM
09914549,19908423.8,1999-02-26,GERMANY
09914041,9904028.9,1999-02-22,UNITED KINGDOM
09914041,9922561.7,1999-09-23,UNITED KINGDOM
09937645,595/BOB/1999,2000-02-02,INDIA
09937645,31/MUM/2000,2000-02-02,INDIA
09914846,20000004,2000-01-03,FINLAND
09958066,2000/5712,2000-02-08,REPUBLIC OF KOREA
09958066,2000/41325,2000-07-19,REPUBLIC OF KOREA
09958214,200 02 274.1,2000-02-09,GERMANY
09914702,99/02680,1999-03-04,FRANCE
09914754,299 03 732.0,1999-03-02,GERMANY
09914124,99103669.0,1999-02-25,EUROPEAN PATENT OFFICE (EPO)
09958487,99 9736,1999-04-13,AUSTRALIA
09958526,99/04509,1999-04-09,FRANCE
09914355,1999 00281,1999-03-02,DENMARK
09913258,"2,243,983",1998-09-17,CANADA
09959004,9908799.1,1999-04-16,UNITED KINGDOM
09958798,11108685,1999-04-16,JAPAN
09958798,11108684,1999-04-16,JAPAN
09958798,11108683,1999-04-16,JAPAN
09958798,11108682,1999-04-16,JAPAN
09958798,11110232,1999-04-19,JAPAN
09958798,11110231,1999-04-19,JAPAN
09958798,11110230,1999-04-19,JAPAN
09958364,106/DEL/2000,2000-02-07,INDIA
09959063,742/99,1999-04-22,SWITZERLAND
09959293,MI2000A000036,2000-01-17,ITALY
09959090,9909047.4,1999-04-20,UNITED KINGDOM
09959345,99108074.8,1999-04-23,EUROPEAN PATENT OFFICE (EPO)
09959159,9908533.4,1999-04-14,UNITED KINGDOM
09959498,199 16 148.8,1999-04-10,GERMANY
09913623,199 07 256.6,1999-02-19,GERMANY
09913623,199 50 632.9,1999-10-20,GERMANY
09913491,99125148.9,1999-12-16,EUROPEAN PATENT OFFICE (EPO)
09913491,60/185670,2000-02-29,UNITED STATES OF AMERICA
09959791,99/05858,1999-05-07,FRANCE
09979230,P-9900118,1999-05-17,SLOVENIA
09959363,99/05034,1999-04-21,FRANCE
09959470,199 19 205.7,1999-04-28,GERMANY
09913176,9902834.2,1999-02-10,UNITED KINGDOM
09913176,9915333.0,1999-06-30,UNITED KINGDOM
09959922,"2,307,074",2000-04-28,CANADA
09979728,9901965-5,1999-05-28,SWEDEN
09979756,99/06444,1999-05-11,FRANCE
09979745,19855426.5,1998-12-02,GERMANY
09980601,100 16 444.7,2000-03-29,GERMANY
09979770,20001581,2000-03-27,NORWAY
09980721,199 22 527.3,1999-05-15,GERMANY
09980721,100 22 503.9,2000-05-10,GERMANY
09980843,991316.8,1999-06-08,UNITED KINGDOM
09980817,00870016.3,2000-02-07,EUROPEAN PATENT OFFICE (EPO)
09980870,100 11 269.2,2000-03-08,GERMANY
09890975,60/106703,1998-11-02,UNITED STATES OF AMERICA
09980924,199 19 421.1,1999-04-28,GERMANY
09980918,99/06034,1999-05-07,FRANCE
10009047,9913244.1,1999-06-08,UNITED KINGDOM
10009026,9902162-8,1999-06-08,SWEDEN
10009166,99/05834,1999-05-07,FRANCE
10009388,199 20 775.5,1999-05-05,GERMANY
10009222,199 21 192.2,1999-05-07,GERMANY
09958825,99/04730,1999-04-15,FRANCE
10009673,99/05835,1999-05-07,FRANCE
09890661,9902652.8,1999-02-05,UNITED KINGDOM
10009768,199-60-037.6,1999-12-13,GERMANY
10009865,9913529.5,1999-06-10,UNITED KINGDOM
10018262,9914383.6,1999-06-21,UNITED KINGDOM
10018275,199 19 219.7,1999-04-30,GERMANY
10018358,199 28 103.3,1999-06-19,GERMANY
10018558,99109057.8,1999-06-16,CHINA
09869615,9828640.4,1998-12-23,UNITED KINGDOM
10018475,199 29 364.3,2000-06-25,GERMANY
10018276,199 27 076.7,1999-06-15,GERMANY
10018544,9914022.0,1999-06-17,UNITED KINGDOM
10018565,9913182.3,1999-06-07,UNITED KINGDOM
10018580,9914024.6,1999-06-17,UNITED KINGDOM
10018653,100 19 220,2000-04-18,GERMANY
10018714,60/147128,1999-08-04,UNITED STATES OF AMERICA
10018163,99/05670,1999-04-30,FRANCE
10018909,PQ 1052,1999-06-18,AUSTRALIA
10019035,PCT/US99/15201,1999-07-06,UNITED STATES OF AMERICA
10019035,PCT/US00/09682,2000-04-12,UNITED STATES OF AMERICA
10019006,100-20-492.9,2000-04-26,GERMANY
10018941,199 18 365.1,1999-04-22,GERMANY
10009427,99870098.3,1999-05-07,EUROPEAN PATENT OFFICE (EPO)
10019707,PQ 1360,1999-07-01,AUSTRALIA
10019729,PQ 1290,1999-06-30,AUSTRALIA
10030001,9909138.1,1999-04-22,UNITED KINGDOM
10019909,11/128734,1999-05-10,JAPAN
10030212,PV 2000-1380,2000-04-17,CZECHIA
10030212,PV 2000-1381,2000-04-17,CZECHIA
10030227,S990571,1999-07-08,IRELAND
10030393,99402029.5,1999-08-10,EUROPEAN PATENT OFFICE (EPO)
09980642,9912930.6,1999-06-03,UNITED KINGDOM
09980879,199 19 420.3,1999-04-28,GERMANY
10030760,199-18-693.6,1999-04-26,GERMANY
10030781,100 22 435.0,2000-05-09,GERMANY
09959926,TO99A000403,1999-05-14,ITALY
10030918,A 1212/99,1999-07-13,AUSTRIA
09959683,00104642.4,2000-03-03,EUROPEAN PATENT OFFICE (EPO)
09959709,199 26 573.9,1999-06-11,GERMANY
10030961,99/00009004,1999-07-12,FRANCE
09958462,60/127852,1999-04-05,UNITED STATES OF AMERICA
09958462,60/132647,1999-05-05,UNITED STATES OF AMERICA
10031132,9916376.8,1999-07-14,UNITED KINGDOM
10031286,9813585.8,1998-06-24,UNITED KINGDOM
10031284,98 07887,1998-06-23,FRANCE
10031269,199 19 148.4,1999-04-27,GERMANY
10031266,19919149.2,1999-04-27,GERMANY
10031389,99/09243,1999-07-16,FRANCE
10031334,100 24 703.2,2000-05-18,GERMANY
10031111,1015127,2000-05-08,NETHERLANDS
09958442,60158927,1999-10-12,UNITED STATES OF AMERICA
09958252,9907556.6,1999-04-06,UNITED KINGDOM
09958061,99830188.1,1999-04-01,EUROPEAN PATENT OFFICE (EPO)
09958061,00104771.1,2000-03-06,EUROPEAN PATENT OFFICE (EPO)
10031676,9917168.8,1999-07-22,UNITED KINGDOM
10031601,11/209782,1999-07-23,JAPAN
10031811,99810421.0,1999-05-12,EUROPEAN PATENT OFFICE (EPO)
09937900,0002515.2,2000-01-31,UNITED KINGDOM
09937900,0019888.7,2000-08-11,UNITED KINGDOM
09937900,60196490,2000-04-12,UNITED STATES OF AMERICA
09937663,99302539.4,1999-03-31,EUROPEAN PATENT OFFICE (EPO)
10048158,199 35 693.9,1999-07-29,GERMANY
09937655,99302641.8,1999-04-01,EUROPEAN PATENT OFFICE (EPO)
09937485,334986,1999-03-31,NEW ZEALAND
09937485,335023,1999-04-07,NEW ZEALAND
09937485,335190,1999-04-14,NEW ZEALAND
09937485,335191,1999-04-14,NEW ZEALAND
09937485,335192,1999-04-14,NEW ZEALAND
09937485,335933,1999-05-26,NEW ZEALAND
09937485,335935,1999-05-26,NEW ZEALAND
09937485,336964,1999-07-27,NEW ZEALAND
09937485,501355,1999-11-29,NEW ZEALAND
09937485,501870,1999-12-20,NEW ZEALAND
09937485,502291,2000-01-12,NEW ZEALAND
09937485,503449,2000-03-20,NEW ZEALAND
10031677,9918038.2,1999-07-30,UNITED KINGDOM
10048830,299 13 425.3,1999-08-06,GERMANY
10048839,199 36 720.5,1999-08-06,GERMANY
10049032,1999/14680,1999-04-23,REPUBLIC OF KOREA
10049032,1999/20714,1999-06-04,REPUBLIC OF KOREA
10049032,2000/12260,2000-03-11,REPUBLIC OF KOREA
10048642,60147032,1999-08-03,UNITED STATES OF AMERICA
09937359,99105359,1999-03-24,RUSSIAN FEDERATION
09920698,9725519.4,1997-12-02,UNITED KINGDOM
09920698,9805253.3,1998-03-13,UNITED KINGDOM
09936857,2000-10670,2000-01-19,JAPAN
10048794,9918033.3,1999-07-30,UNITED KINGDOM
10049139,199 37 843.6,1999-08-13,GERMANY
10049527,1396/99,1999-08-13,AUSTRIA
10049197,2000/84326,2000-12-28,REPUBLIC OF KOREA
10049197,2001/41670,2001-07-11,REPUBLIC OF KOREA
10049197,2001/52398,2001-08-29,REPUBLIC OF KOREA
10049034,11222501,1999-08-05,JAPAN
10049411,9919637.0,1999-08-20,UNITED KINGDOM
10049250,299 14 038.5,1999-08-11,GERMANY
10049343,9918681.9,1999-08-09,UNITED KINGDOM
10049684,PQ 2286,1999-08-18,AUSTRALIA
10069185,199 38 185.2,1999-08-17,GERMANY
09937273,99/03654,1999-03-24,FRANCE
10069163,99/10668,1999-08-20,FRANCE
10069715,9920384.6,1999-08-28,UNITED KINGDOM
10069727,00/08368,2000-06-29,FRANCE
10069751,10248.3,2000-06-12,PORTUGAL
10049941,199 39 450.4,1999-08-20,GERMANY
10069779,199 42 064.5,1999-09-03,GERMANY
10069881,9920481.0,1999-09-01,UNITED KINGDOM
10070111,601151836,1999-09-01,UNITED STATES OF AMERICA
10070605,131802,1999-09-08,ISRAEL
10069430,9919814.5,1999-08-20,UNITED KINGDOM
10049080,9918459.0,1999-08-06,UNITED KINGDOM
10048634,200001443,2000-06-01,SPAIN
10070807,99/11354,1999-09-10,FRANCE
10070754,99123556.5,1999-11-26,EUROPEAN PATENT OFFICE (EPO)
10070800,60146003,1999-07-28,UNITED STATES OF AMERICA
10069381,11-240433,1999-08-26,JAPAN
10048624,9918399.8,1999-08-05,UNITED KINGDOM
10048341,11/248036,1999-07-29,JAPAN
10070956,"09/395,514",1999-09-14,UNITED STATES OF AMERICA
10088309,9920311.9,1999-08-28,UNITED KINGDOM
10088667,199 44 803.5,1999-09-20,GERMANY
10088616,990100318,1999-09-22,GREECE
10088986,9922530.2,1999-09-24,UNITED KINGDOM
10088870,10-2002-0010527,2002-02-27,REPUBLIC OF KOREA
10088796,60155325,1999-09-22,UNITED STATES OF AMERICA
10088902,19947197.5,1999-10-01,GERMANY
10088985,19946903.2,1999-09-30,GERMANY
10089465,PCT/EP99/07174,1999-09-28,EUROPEAN PATENT OFFICE (EPO)
10089509,199 47 061.8,1999-09-30,GERMANY
10030710,130915,1999-07-13,ISRAEL
10089977,99109484,1999-05-12,RUSSIAN FEDERATION
10089889,0010133.7,2000-04-27,UNITED KINGDOM
10110032,299 17 523.5,1999-10-05,GERMANY
10110009,199 48 198.9,1999-10-06,GERMANY
10030347,P9901365,1999-06-18,SPAIN
10110036,9923902.2,1999-10-08,UNITED KINGDOM
10110036,0007789.1,2000-03-30,UNITED KINGDOM
10110346,199 48 836.3,1999-10-11,GERMANY
10110346,199 48 893.2,1999-10-11,GERMANY
10110346,100 15 738.6,2000-03-29,GERMANY
10110346,100 15 739.4,2000-03-29,GERMANY
10110346,100 50 066.8,2000-10-10,GERMANY
10110422,99/13241,2001-10-19,FRANCE
10110417,2000-302100,2000-10-02,JAPAN
10089922,9923337.1,1999-10-04,UNITED KINGDOM
10030478,11/228788,1999-07-09,JAPAN
10110559,PQ 3498,1999-10-18,AUSTRALIA
10110559,PQ 7063,2000-04-20,AUSTRALIA
10110559,PQ 8761,2000-07-14,AUSTRALIA
10019673,99610036.8,1999-07-02,EUROPEAN PATENT OFFICE (EPO)
10110258,199 48 473.2,1999-10-08,GERMANY
10111131,10/9604,1998-10-28,JAPAN
10111203,9925057.3,1999-10-23,UNITED KINGDOM
10019153,9914733.2,1999-06-23,UNITED KINGDOM
10111359,19945059.5,1999-09-20,GERMANY
10111387,9926019.2,1999-11-04,UNITED KINGDOM
10111183,11298273,1999-10-20,JAPAN
10111339,A 481/2000,2000-03-22,AUSTRIA
10019414,P 9901674,1999-07-23,SPAIN
10111504,199 51 320.1,1999-10-25,GERMANY
10111568,19951578.6,1999-10-27,GERMANY
10111610,PQ 9682,2000-08-25,AUSTRALIA
10110869,99203427.2,1999-10-18,EUROPEAN PATENT OFFICE (EPO)
10111832,19945058.7,1999-09-20,GERMANY
10129074,99/13670,1999-11-02,FRANCE
10111796,09427357,1999-10-26,UNITED STATES OF AMERICA
10111796,09528344,2000-03-17,UNITED STATES OF AMERICA
10111796,09528059,2000-03-17,UNITED STATES OF AMERICA
10129179,9926286.7,1999-11-05,UNITED KINGDOM
10019053,9902494-5,1999-06-30,SWEDEN
10129227,99/6853,1999-11-02,SOUTH AFRICA
10129227,2000/0749,2000-02-17,SOUTH AFRICA
10129084,132731,1999-11-03,ISRAEL
10018907,PQ 1051,1999-06-18,AUSTRALIA
10129237,T099A000959,1999-11-09,ITALY
10018340,19929363.5,1999-06-25,GERMANY
10129033,60165865,1999-11-16,UNITED STATES OF AMERICA
10129275,99122141.7,1999-11-05,EUROPEAN PATENT OFFICE (EPO)
10129327,11/315385,1999-11-05,JAPAN
10129327,11/316040,1999-11-05,JAPAN
10129327,2000-2746,2000-01-11,JAPAN
10129327,2000-6268,2000-01-12,JAPAN
10129717,1999/49553,1999-11-09,REPUBLIC OF KOREA
10129795,662/MUM/2000,2000-07-14,INDIA
10129797,661/MUN/2000,2000-07-14,INDIA
10129777,11/322857,1999-11-12,JAPAN
10129798,596MUM/2000,2000-06-28,INDIA
10129800,597/MUM/2000,2000-06-28,INDIA
10129573,99/6958,1999-11-05,SOUTH AFRICA
10129573,2000/3464,2000-07-11,SOUTH AFRICA
10129337,99/14467,1999-11-17,FRANCE
10111971,99119923.5,1999-10-29,CHINA
10129987,60165878,1999-11-16,UNITED STATES OF AMERICA
10111893,99203473.6,1999-10-22,EUROPEAN PATENT OFFICE (EPO)
10111506,00/10943,2000-08-25,FRANCE
10130131,11-325304,1999-11-16,JAPAN
10130131,11-344644,1999-12-03,JAPAN
10130131,2000-061011,2000-03-06,JAPAN
10130108,00/12615,2001-10-03,FRANCE
10130108,01/06825,2001-05-23,FRANCE
10130047,9910476,1999-11-15,MEXICO
10111689,60162310,1999-10-27,UNITED STATES OF AMERICA
10130506,9904237-6,1999-11-22,SWEDEN
10130698,100 47 512.4,2000-09-22,GERMANY
10111048,99/13638,1999-10-25,FRANCE
10130759,133073,1999-11-22,ISRAEL
10130854,99275638,1999-11-23,UNITED KINGDOM
10130854,00105759,2000-05-02,UNITED KINGDOM
10110604,PQ 3706,1999-10-27,AUSTRALIA
10110604,PQ 6508,2000-03-28,AUSTRALIA
10110604,PQ 6509,2000-03-28,AUSTRALIA
10110604,PQ 6510,2000-03-28,AUSTRALIA
10110604,PQ 6511,2000-03-28,AUSTRALIA
10110604,PQ 6512,2000-03-28,AUSTRALIA
10148369,99123363.6,1999-11-23,EUROPEAN PATENT OFFICE (EPO)
10148554,9928678.3,1999-12-03,UNITED KINGDOM
10148674,133230,1999-11-30,ISRAEL
10089471,PQ3066,1999-09-24,AUSTRALIA
10089471,PQ4005,1999-11-12,AUSTRALIA
10089471,PQ4309,1999-11-29,AUSTRALIA
10148450,199 58 346.3,1999-12-03,GERMANY
10148816,9929805.1,1999-12-16,UNITED KINGDOM
10148767,A 2022/99,1999-12-01,AUSTRIA
10149167,199596409,1999-12-10,GERMANY
10089574,99 1 22482.5,1999-09-28,CHINA
10088739,99118809.5,1999-09-23,EUROPEAN PATENT OFFICE (EPO)
10088739,00111993.2,2000-06-20,EUROPEAN PATENT OFFICE (EPO)
10148854,199 57 740.4,1999-12-01,GERMANY
10148854,100 08 838.4,2000-02-25,GERMANY
10149427,9930555.9,1999-12-23,UNITED KINGDOM
10149487,133473,1999-12-12,ISRAEL
10149077,133364,1999-12-07,ISRAEL
10149077,137735,2000-08-07,ISRAEL
10149604,99310207.8,1999-12-16,EUROPEAN PATENT OFFICE (EPO)
10168016,19992737,1999-12-20,FINLAND
10088670,9922469.3,1999-09-22,UNITED KINGDOM
10168446,00103665.6,2000-02-22,EUROPEAN PATENT OFFICE (EPO)
10148705,99125095,1999-11-29,RUSSIAN FEDERATION
10168570,9930448.7,1999-12-22,UNITED KINGDOM
10169506,2000-005810,2000-01-06,JAPAN
10088693,PI0003813.0,2000-07-21,BRAZIL
10169286,199 63 857.8,1999-12-30,GERMANY
10088273,60154381,1999-09-16,UNITED STATES OF AMERICA
10070975,199 39 936.0,1999-08-23,GERMANY
10168561,11/362243,1999-12-21,JAPAN
10169844,2000/683 U,2000-01-11,REPUBLIC OF KOREA
10169987,0000128-9,2000-01-14,SWEDEN
10169987,0000129-7,2000-01-14,SWEDEN
10181142,0000822.7,2000-01-15,UNITED KINGDOM
10181465,PCT/FR00/00131,2000-01-20,FRANCE
10181683,00/12753,2000-10-05,FRANCE
