application_number,child_application_number,child_filing_date
04495847,05930439,1977-08-02
04200052,05850027,1977-11-09
04200052,05850034,1977-11-09
04196039,05974626,1978-12-29
04153542,06316010,1981-10-28
04153542,06495377,1983-04-12
04491805,06091292,1979-11-05
04169355,06232840,1981-02-09
04169355,06238417,1981-02-26
04501695,07698090,1991-05-10
04501695,08030506,1993-05-13
04516280,05663243,1976-03-03
04516280,06278399,1981-06-29
04516280,07576379,1990-08-31
04522366,05534807,1974-12-20
04525587,90000303,1982-12-03
04526225,06023945,1979-03-26
04528519,05944053,1978-09-19
04535215,90000047,1981-08-06
04497530,05942208,1978-09-14
04494384,05846358,1977-10-28
04536326,06063356,1979-08-03
04536326,06413134,1982-08-30
04541549,90000624,1984-09-12
04541549,90000720,1985-02-07
04542061,05905049,1978-05-11
04542061,06179889,1980-08-20
04542061,06265902,1981-05-21
04544040,90000434,1983-08-17
04549373,05462698,1974-04-22
04547114,90000135,1982-01-04
04485624,06539562,1983-10-06
04485624,05862194,1977-12-19
04553075,07227621,1988-08-03
04553075,07744649,1991-08-08
04485736,06235024,1981-02-17
04552342,90000069,1981-09-09
04422875,06643883,1984-08-24
04422875,06921268,1986-10-21
04422875,07376378,1989-07-07
04422875,90003066,1993-05-24
04422875,90003065,1993-05-24
04422875,07610822,1990-11-08
04422875,07628373,1990-12-17
04422875,07696747,1991-05-07
04422875,07930813,1992-08-14
04422875,90003519,1994-08-05
04422875,07849297,1992-03-10
04422875,07955515,1992-10-02
04422875,08472680,1995-06-07
04560201,90000924,1985-12-16
04526546,90001634,1988-11-03
04526546,90001707,1989-02-03
04575498,05517759,1974-10-24
04421897,06643883,1984-08-24
04421897,06921268,1986-10-21
04421897,07376378,1989-07-07
04421897,90003065,1993-05-24
04421897,07610822,1990-11-08
04421897,90003066,1993-05-24
04421897,90003519,1994-08-05
04466218,90000856,1985-09-16
04458634,05590163,1975-06-25
04577563,90000115,1981-11-27
04446715,05903569,1978-05-08
04580290,05632979,1975-11-18
04577552,90000806,1985-06-19
04583219,05578700,1975-05-19
04587363,05595443,1975-07-14
04587365,05676217,1976-04-12
04423034,90000054,1981-08-12
04578318,05085289,1970-10-29
04578318,05248198,1972-04-27
04578318,90000643,1984-10-03
04578318,06429918,1982-09-30
04405673,06275764,1981-06-22
04588162,90000082,1981-10-09
04404166,06092306,1979-11-08
04593267,06149881,1980-05-14
04589670,90000813,1985-07-03
04597836,05526261,1974-11-22
04597836,05754450,1976-12-27
04593504,90000883,1985-10-11
04593504,90001096,1986-09-24
04593504,90000884,1985-10-11
04593504,90001095,1986-09-24
04377036,90000851,1985-09-09
04601134,90000401,1983-06-15
04601874,05766667,1977-02-08
04372362,05850034,1977-11-09
04595809,90001543,1988-06-22
04603102,06042028,1979-05-24
04607390,90000851,1985-09-09
04602291,05308856,1972-11-22
04602291,90000234,1982-07-30
04612202,06018571,1979-03-08
04609670,06856457,1986-04-28
04617859,90000851,1985-09-09
04614728,05594257,1975-07-09
04614728,06564773,1983-12-27
04614728,07145649,1988-01-13
04617860,05969711,1978-12-15
04617860,05186461,1971-10-04
04619741,90000176,1982-03-22
04622947,06230320,1981-02-02
04621780,06101596,1979-12-10
04621780,06101600,1979-12-10
04621780,06174086,1980-07-31
04629351,05944053,1978-09-19
04628581,06248777,1981-03-30
04628581,06541845,1983-10-14
04628581,06678970,1984-12-06
04628581,07021384,1987-03-03
04628581,06248777,1981-03-30
04628581,06541845,1983-10-14
04628581,06678970,1984-12-06
04628581,07021384,1987-03-03
04628581,06248777,1981-03-30
04628581,06541845,1983-10-14
04628581,06678970,1984-12-06
04628581,07021384,1987-03-03
04628581,06248777,1981-03-30
04346585,06393979,1982-06-30
04270964,06148860,1980-05-12
04299818,05517759,1974-10-24
04296464,05942212,1978-09-14
04270545,05337345,1973-03-02
04270545,06041283,1979-05-21
04270545,06234238,1981-02-13
04632233,90000448,1983-09-22
04632392,05488099,1974-07-12
04627243,05843309,1977-10-18
04635658,05937677,1978-08-28
04616208,90000054,1981-08-12
04637713,06372431,1982-04-27
04641348,06401643,1982-07-26
04636993,05085289,1970-10-29
04636993,06429918,1982-09-30
04636993,05248198,1972-04-27
04636993,90000643,1984-10-03
04607302,06283382,1981-07-15
04639249,90000746,1985-03-25
04640959,90000024,1981-07-10
04593850,90000988,1986-04-17
04646542,05277816,1972-08-03
04639883,90000031,1981-07-20
04651891,90000844,1985-08-28
04598148,05928843,1978-07-27
04651295,05861190,1977-12-16
04651295,90000192,1982-04-27
04587699,05877929,1978-02-15
04587699,05877930,1978-02-15
04654998,90001407,1987-12-23
04655318,05625091,1975-10-23
04655318,06174027,1980-07-31
04584608,06015568,1979-02-26
04577930,90000739,1985-03-14
04656388,90000076,1981-09-28
04542368,90000072,1981-09-18
04660997,90000761,1985-04-18
04656802,90000755,1985-04-10
04660155,90000104,1981-11-09
04660155,90000427,1983-07-29
04661988,05934451,1978-08-17
04661988,05934450,1978-08-17
04662907,05776464,1977-03-10
04662907,90000264,1982-09-30
04569423,90000109,1981-11-13
04670646,90000243,1982-08-18
04667993,90000943,1986-01-27
04665214,90000244,1982-08-20
04671995,05593359,1975-07-07
04672746,05255604,1972-05-22
04672746,06027969,1979-04-09
04672746,06411065,1982-08-24
04672437,06101596,1979-12-10
04672437,06101600,1979-12-10
04672437,06174086,1980-07-31
04665526,05968216,1978-12-11
04665526,90001634,1988-11-03
04665526,90001707,1989-02-03
04665526,06161034,1980-06-19
04665526,06686908,1984-12-27
04665526,07065379,1987-06-23
04665526,07555860,1990-07-20
04665526,07555932,1990-07-20
04665526,07555933,1990-07-20
04665526,07829911,1992-01-31
04665526,07848220,1992-03-10
04569805,05625091,1975-10-23
04569805,06174027,1980-07-31
04573148,06030340,1979-04-16
04681737,05780031,1977-03-22
04681737,05852470,1977-11-17
04688349,05860636,1977-12-14
04688349,06085069,1979-10-15
04551873,90000054,1981-08-12
04691866,90001141,1986-12-17
04690940,06054687,1979-07-05
04688302,05903569,1978-05-08
04693698,05186461,1971-10-04
04693698,05969711,1978-12-15
04690407,05871407,1978-01-23
04690407,05827833,1977-08-25
04692725,90000414,1983-07-01
04697492,05653541,1976-01-29
04697492,05785862,1977-04-08
04545972,05959577,1978-11-13
04538978,90000054,1981-08-12
04536905,05843776,1977-10-20
04525573,90000618,1984-09-04
04525573,90000686,1984-12-12
04517300,90001281,1987-07-06
04701699,05877565,1978-02-13
04702533,06042863,1979-05-29
04702204,05762641,1977-01-26
04700607,90000044,1981-08-04
04701794,06310241,1981-10-09
04703175,90000706,1985-01-10
04704488,90001291,1987-07-28
04702189,05863368,1977-12-22
04702189,05863369,1977-12-22
04702189,05863374,1977-12-22
04702189,05863510,1977-12-22
04702189,05316794,1972-12-20
04702189,05316795,1972-12-20
04702189,06031707,1979-04-20
04702189,06081423,1979-10-03
04702189,06299858,1981-09-08
04702189,06079413,1979-09-27
04702189,05729180,1976-10-04
04702189,06873613,1986-06-12
04697798,05810538,1977-06-27
04697798,05810542,1977-06-27
04700086,90000059,1981-08-21
04705539,05716684,1976-08-23
04705539,06891117,1986-07-28
04705539,90003939,1995-09-05
04705539,90003828,1995-05-12
04705921,90000078,1981-09-30
04705213,05894367,1978-04-07
04705213,05894368,1978-04-07
04712222,06291258,1981-08-10
04712222,06854670,1986-04-18
04695817,05248198,1972-04-27
04695817,06429918,1982-09-30
04695817,90000643,1984-10-03
04715843,05890864,1978-03-24
04715571,05639571,1975-12-10
04715571,05875433,1978-02-06
04716190,05555333,1975-03-04
