application_number,child_application_number,child_filing_date
05286056,05885264,1978-03-10
05283716,05807070,1977-06-16
05268406,05843776,1977-10-20
05268314,05851018,1977-11-14
05287105,05532757,1974-12-16
05287105,05907834,1978-05-19
05287105,90001170,1987-02-24
05266470,05852053,1977-11-16
05266470,06211911,1980-12-01
05266470,06228621,1981-01-26
05266470,06328267,1981-12-07
05267595,06020202,1979-11-16
05287526,90000524,1984-03-05
05287526,90000608,1984-08-13
05265945,05656475,1976-02-09
05265945,06052873,1979-06-28
05265586,05932759,1978-08-10
05287184,06253650,1981-05-13
05287444,05542592,1975-01-20
05287444,05868517,1978-01-11
05287444,06175356,1980-08-04
05287444,06296119,1981-08-25
05287444,07195558,1988-05-12
05265600,90000631,1984-09-17
05263541,05931355,1978-08-07
05263541,06215486,1980-12-11
05263541,05830509,1977-09-06
05289742,05450200,1974-03-11
05289742,06092507,1979-11-08
05289742,06092515,1979-11-08
05291457,90000424,1983-07-25
05291457,90001154,1987-01-27
05289284,05948409,1978-10-04
05287845,05629415,1975-11-06
05287845,06000806,1979-01-04
05288730,05697465,1976-06-18
05287582,06209641,1980-11-24
05292343,06091121,1979-11-05
05293194,90002013,1990-04-27
05293194,90002300,1991-03-19
05284810,05504793,1974-09-10
05293592,05881592,1978-02-27
05293592,06161689,1980-06-23
05295094,05891776,1978-03-30
05293817,05385740,1973-08-09
05285166,05541760,1975-01-17
05295230,05953270,1978-10-20
05295520,09183202,1998-10-30
05284162,06251623,1981-04-06
05295580,06210867,1980-11-26
05283828,05890906,1978-03-27
05295721,05578938,1975-05-19
05282623,06400817,1982-07-22
05282623,07428816,1989-10-27
05282623,08035006,1993-03-22
05281405,05710383,1976-08-02
05281288,05963460,1978-11-24
05295807,90001607,1988-09-26
05295807,90001608,1988-09-26
05278684,05852470,1977-11-17
05278329,90000246,1982-08-25
05278329,90000472,1983-11-25
05294837,05919412,1978-06-26
05294837,06507777,1983-06-27
05294837,06852324,1986-04-15
05294837,07830114,1992-01-30
05294837,08000782,1993-01-04
05297241,05814771,1977-07-11
05296466,05620685,1975-10-08
05296466,05632344,1975-11-17
05296578,06058011,1979-07-16
05297470,06265053,1981-05-19
05297650,06447017,1982-12-06
05297582,06049853,1979-06-18
05297582,06049514,1979-06-18
05297582,06049811,1979-06-18
05297582,06049812,1979-06-18
05297866,06360050,1982-03-19
05277401,05654939,1976-02-03
05277401,06257376,1981-04-24
05277401,06519979,1983-08-03
05277600,06402712,1982-07-28
05277402,05654939,1976-02-03
05277402,06257376,1981-04-24
05277402,06519979,1983-08-03
05298573,06007936,1979-01-31
05298573,06225200,1981-01-15
05297452,90002868,1992-10-29
05297452,05912421,1978-06-05
05297452,90002869,1992-10-29
05297452,06245926,1981-03-20
05297452,90002866,1992-10-29
05297452,07576379,1990-08-31
05297452,08141200,1993-10-21
05299748,06254672,1981-04-16
05299858,06082111,1979-10-05
05299858,06358042,1982-03-15
05300248,06109188,1980-01-03
05300248,06296065,1981-08-25
05300528,05514054,1974-10-11
05300528,05906701,1978-05-17
05298888,90001065,1986-08-11
05297995,05952937,1978-10-19
05297995,05952938,1978-10-19
05297995,05952939,1978-10-19
05297995,90001123,1986-10-31
05300732,05797767,1977-05-17
05300732,06031307,1979-04-18
05300732,06266000,1981-05-21
05300732,06401735,1982-07-26
05297957,90001293,1987-07-30
05297957,06170933,1980-07-21
05297252,05907278,1978-05-18
05301568,06318435,1981-11-05
05302398,05438466,1974-01-31
05302940,05765123,1977-02-03
05302940,05943195,1978-09-18
05303146,05806923,1977-06-15
05303706,05745405,1976-11-26
05303706,05959630,1978-11-13
05295766,90000431,1983-08-05
05296020,05843757,1977-10-20
05296020,06018571,1979-03-08
05303939,05915445,1978-06-14
05303939,06277385,1981-06-25
05304617,05689707,1976-05-24
05304776,05464118,1974-04-25
05304220,05614834,1975-09-19
05304220,05851504,1977-11-14
05304220,06242350,1981-03-10
05304220,06238500,1981-02-26
05304220,06242350,1981-03-10
05304220,06242350,1981-03-10
05304220,06605248,1984-04-30
05304220,06242350,1981-03-10
05304220,06605248,1984-04-30
05304220,06242350,1981-03-10
05305032,05961893,1978-11-17
05305032,06304496,1981-09-22
05305032,06304500,1981-09-22
05305861,05839324,1977-10-04
05305861,06224915,1981-01-13
05305914,05741521,1976-11-12
05306433,90000867,1985-09-20
05293596,06684870,1984-12-21
05293596,07266231,1988-10-28
05307479,05808462,1977-06-21
05307479,06214260,1980-12-08
05307092,90000460,1983-10-14
05308057,05534807,1974-12-20
05292722,06103526,1979-12-13
05309290,05629952,1975-11-07
05309488,06003531,1979-01-15
05310700,05768287,1977-02-14
05311006,05766308,1977-02-07
05311006,05865344,1977-12-28
05290816,05932402,1978-08-09
05312142,05465004,1974-04-29
05312424,05627426,1975-10-30
05311274,06200590,1980-10-24
05312274,05789943,1977-04-22
05312274,05889843,1978-03-24
05312880,05966508,1978-12-04
05313946,05552335,1975-02-24
05314277,05791597,1977-04-27
05307733,06003560,1979-01-15
05307379,05757077,1977-01-05
05314499,05442386,1974-02-14
05306545,06201903,1980-09-19
05304157,05760499,1977-01-19
05304157,05802683,1977-06-02
05304157,06258848,1981-04-29
05304157,06221235,1980-12-30
05305645,06143883,1980-04-25
05305645,06037748,1979-05-10
05315502,05916273,1978-06-16
05315502,05864362,1977-12-27
05316268,05931899,1978-08-08
05315007,90001056,1986-07-15
05315153,90000017,1981-07-02
05315153,90000018,1981-07-02
05316943,05782685,1977-03-30
05316632,06096116,1979-11-20
05316632,06258356,1981-04-28
05316632,06827183,1986-02-06
05302901,06001894,1979-01-08
05302901,06279001,1981-06-30
05317039,05777971,1977-03-15
05317349,05621267,1975-10-10
05317349,06022750,1979-03-22
05317349,90000275,1982-10-18
05317522,06194535,1980-10-06
05318146,06922290,1986-10-23
05318146,05694429,1976-06-09
05318257,05420310,1973-11-29
05318167,90002051,1990-06-12
05318963,05550242,1975-02-14
05319211,06077409,1979-09-20
05319211,06271591,1981-06-08
05319159,05809442,1977-06-23
05319136,05800364,1977-05-25
05319136,05800389,1977-05-25
05320028,06558394,1983-12-05
05319985,05568615,1975-04-16
05319985,06069354,1979-08-24
05321810,05501838,1974-08-29
05321556,90000641,1984-10-01
05321556,90001444,1988-02-11
05320771,06342579,1982-01-25
05321660,06168624,1980-09-18
05318213,05713412,1976-08-11
05318213,05802498,1977-06-01
05318213,06109640,1980-01-04
05318213,06476568,1983-03-18
05322360,06394462,1982-07-01
05319163,90001666,1988-12-14
05319163,90001667,1988-12-14
05323000,05777271,1977-03-11
05323000,06001660,1979-01-08
05316417,05658199,1976-02-17
05316417,06133338,1980-03-24
05316417,06695969,1985-01-29
05316417,06793186,1985-10-31
05316417,06733939,1985-05-14
05316417,06817150,1986-01-08
05316417,07611058,1990-11-09
05316417,07763371,1991-11-27
05316417,08066545,1993-05-24
05322810,90000415,1983-07-05
05322810,90000553,1984-05-08
05323295,90000791,1985-05-31
05323760,05850687,1977-11-11
05323381,05539607,1975-01-08
05323381,06105151,1979-12-19
05324596,05622550,1975-10-14
05324596,05622550,1975-10-14
05324596,06269604,1981-06-02
05316843,05625302,1975-10-24
05326188,05829964,1977-09-01
05326457,06393289,1982-06-29
05326457,06393231,1982-06-29
05325658,90001887,1989-11-13
05326706,06918195,1986-10-14
05326706,90000412,1983-06-27
05326706,90000607,1984-08-13
05325792,05793657,1977-05-04
05325792,07059286,1987-06-08
05325792,07059305,1987-06-08
05325792,07515886,1990-04-27
05325792,08454810,1995-05-31
05325792,07059286,1987-06-08
05325792,07059305,1987-06-08
05315212,05929155,1978-07-31
05315212,06079394,1979-09-27
05327391,05968526,1978-12-11
05327758,90000265,1982-09-29
05328202,05688868,1976-05-21
05328202,05944816,1978-09-22
05328048,05851744,1977-11-15
05328048,06287032,1981-07-27
05328048,06380960,1982-05-21
05328048,06623569,1984-06-22
05329248,05771483,1977-02-24
05328481,06247921,1981-03-26
05329266,90001080,1986-09-08
05328925,90000533,1984-03-22
05328925,05853503,1977-11-21
05328925,90000545,1984-04-18
05329128,90000655,1984-10-24
05329128,90001323,1987-09-03
05329128,90001338,1987-09-23
05329070,05653429,1976-01-29
05314022,05539881,1975-01-09
05330886,90001316,1987-08-26
05312454,05653405,1976-01-29
05312454,06104344,1979-12-17
05312454,05653403,1976-01-29
05312454,05658191,1976-02-17
05312454,05658193,1976-02-17
05312454,06193553,1980-10-03
05312454,06420755,1982-09-21
05312454,06467579,1983-02-17
05312454,06740119,1985-05-31
05325934,90001652,1988-11-29
05332332,05663196,1976-03-02
05331028,05894719,1978-04-10
05333382,05772923,1977-02-28
05333394,05917162,1978-06-20
05331719,05939291,1978-09-01
05331719,05808415,1977-06-20
05331719,05939292,1978-09-01
05331719,05926355,1978-07-20
05331719,05939086,1978-09-01
05331719,05881227,1978-02-27
05331719,06216335,1980-12-15
05331719,06302916,1981-09-16
05331719,06302921,1981-09-16
05331719,06302948,1981-09-16
05331719,06111560,1980-01-14
05331719,06302886,1981-09-16
05331719,06302895,1981-09-16
05331719,06302896,1981-09-16
05331719,06302914,1981-09-16
05331719,06302922,1981-09-16
05331719,06837221,1986-11-10
05331719,07048519,1987-04-27
05333690,90000905,1985-11-15
05333119,90001652,1988-11-29
05325933,05801879,1977-05-31
05325933,05948053,1978-10-02
05325933,05948378,1978-10-04
05325933,05954396,1978-10-25
05325933,05849733,1977-11-09
05325933,05950901,1978-10-12
05325933,05849812,1977-11-09
05325933,06191873,1980-09-29
05325933,90002541,1991-12-13
05325933,06520277,1983-08-04
05325933,08033685,1993-03-16
05325933,08286620,1994-08-05
05325933,05812285,1977-07-01
05325933,05844765,1977-10-25
05325933,07191669,1988-05-09
05325933,07495808,1990-03-16
05325933,06342579,1982-01-25
05325933,06422932,1982-09-24
05325933,06424949,1982-09-27
05325933,06849071,1986-04-04
05325933,07740682,1991-08-06
05325933,07963533,1992-10-20
05325933,08254818,1994-06-06
05325933,08283374,1994-08-01
05325933,08285669,1994-08-03
05325933,05860277,1977-12-13
05325933,08417532,1995-04-06
05325933,08418211,1995-04-06
05325933,08418212,1995-04-06
05325933,08418213,1995-04-06
05325933,08418215,1995-04-06
05325933,08418216,1995-04-06
05325933,08419326,1995-04-10
05325933,08419476,1995-04-10
05325933,08419584,1995-04-10
05325933,08419585,1995-04-10
05325933,08419586,1995-04-10
05325933,08419682,1995-04-10
05325933,08420170,1995-04-11
05325933,08420470,1995-04-12
05325933,08423058,1995-04-17
05325933,08423073,1995-04-17
05325933,08423234,1995-04-17
05325933,08423235,1995-04-17
05325933,08426450,1995-04-21
05325933,08426521,1995-04-21
05325933,08426548,1995-04-21
05325933,08426754,1995-04-21
05325933,08427547,1995-04-24
05325933,08428359,1995-04-21
05325933,07279592,1988-12-02
05325933,05889301,1978-03-23
05325933,06160871,1980-06-19
05325933,06160872,1980-06-19
05325933,07283661,1988-12-13
05325933,08435502,1995-05-05
05325933,07578041,1990-09-04
05325933,08429272,1995-04-24
05325933,08428737,1995-04-25
05325933,08436552,1995-05-08
05325933,08471214,1995-06-06
05325933,08471596,1995-06-06
05325933,08472025,1995-06-06
05334528,06075367,1979-09-14
05312744,05557643,1975-03-12
05325941,05948053,1978-10-02
05325941,05948378,1978-10-04
05325941,05954396,1978-10-25
05325941,05801879,1977-05-31
05325941,05849733,1977-11-09
05325941,05950901,1978-10-12
05325941,06504691,1983-06-15
05325941,06505141,1983-06-16
05325941,06772961,1985-09-05
05325941,06818573,1986-01-13
05325941,08470898,1995-06-06
05325941,08472041,1995-06-06
05325941,05812285,1977-07-01
05325941,05844765,1977-10-25
05325941,05849812,1977-11-09
05325941,06191873,1980-09-29
05325941,07059286,1987-06-08
05325941,07059305,1987-06-08
05325941,07339566,1989-04-17
05325941,07357570,1989-05-25
05325941,07419911,1989-10-10
05325941,07763395,1991-09-20
05325941,07763461,1991-09-20
05325941,07764431,1991-09-23
05325941,07774159,1991-10-15
05325941,90002541,1991-12-13
05325941,08469528,1995-06-06
05325941,08470665,1995-06-06
05325941,08470666,1995-06-06
05325941,08470856,1995-06-06
05325941,08470859,1995-06-06
05325941,08471062,1995-06-06
05325941,08471117,1995-06-06
05325941,08471434,1995-06-06
05325941,08471810,1995-06-06
05325941,08471932,1995-06-07
05325941,08472031,1995-06-06
05325941,08472032,1995-06-06
05325941,08472074,1995-06-06
05325941,08479019,1995-06-06
05325941,08479097,1995-06-06
05325941,06520277,1983-08-04
05325941,07182709,1988-04-18
05325941,07515881,1990-04-27
05325941,07515886,1990-04-27
05325941,08033685,1993-03-16
05325941,08286620,1994-08-05
05325941,08464035,1995-06-05
05325941,05860277,1977-12-13
05325941,07191669,1988-05-09
05325941,07495808,1990-03-16
05325941,08445456,1995-05-31
05325941,08445457,1995-05-31
05325941,08445458,1995-05-31
05325941,08454810,1995-05-31
05325941,08454873,1995-05-31
05325941,08454874,1995-05-31
05325941,08454887,1995-05-31
05325941,08455297,1995-05-31
05325941,08455303,1995-05-31
05325941,08455309,1995-05-31
05325941,08455310,1995-05-31
05325941,08455320,1995-05-31
05325941,08456128,1995-05-31
05325941,08456129,1995-05-31
05325941,08456261,1995-05-31
05325941,06342579,1982-01-25
05325941,06422932,1982-09-24
05325941,06424949,1982-09-27
05325941,06849071,1986-04-04
05325941,07740682,1991-08-06
05325941,07963533,1992-10-20
05325941,08254818,1994-06-06
05325941,08283374,1994-08-01
05325941,08285669,1994-08-03
05325941,08417532,1995-04-06
05325941,08418211,1995-04-06
05325941,08418212,1995-04-06
05325941,08418213,1995-04-06
05325941,08418215,1995-04-06
05325941,08418216,1995-04-06
05325941,08419326,1995-04-10
05325941,08419476,1995-04-10
05325941,08419584,1995-04-10
05325941,08419585,1995-04-10
05325941,08419586,1995-04-10
05325941,08419682,1995-04-10
05325941,08420170,1995-04-11
05325941,08420470,1995-04-12
05325941,08423058,1995-04-17
05325941,08423073,1995-04-17
05325941,08423234,1995-04-17
05325941,08423235,1995-04-17
05325941,08426450,1995-04-21
05325941,08426521,1995-04-21
05325941,08426548,1995-04-21
05325941,08426754,1995-04-21
05325941,08427547,1995-04-24
05325941,08428359,1995-04-21
05325941,05889301,1978-03-23
05325941,07279592,1988-12-02
05325941,06160871,1980-06-19
05325941,08435924,1995-05-05
05325941,08419590,1995-04-10
05325941,08419681,1995-04-10
05325941,08430089,1995-04-27
05325941,08432249,1995-05-01
05325941,06160872,1980-06-19
05325941,07283661,1988-12-13
05325941,08435502,1995-05-05
05325941,07578041,1990-09-04
05325941,08429272,1995-04-24
05325941,08428737,1995-04-25
05325941,08436552,1995-05-08
05325941,08471214,1995-06-06
05325941,08471596,1995-06-06
05325941,08472025,1995-06-06
05325941,07059286,1987-06-08
05325941,07059305,1987-06-08
05334859,05746027,1976-11-30
05334859,90000469,1983-11-18
05335934,05749338,1976-12-10
05332216,06639112,1984-08-09
05332216,05900245,1978-04-26
05335414,05784770,1977-04-05
05335414,06084228,1979-10-12
05335414,06084229,1979-10-12
05335414,06165462,1980-07-02
05331947,05814368,1977-07-11
05331947,06018965,1979-03-09
05331191,05626723,1975-10-29
05336357,06015752,1979-02-27
05336869,06263560,1981-05-14
05336869,06263561,1981-05-14
05336816,90001403,1987-12-22
05338392,06218548,1980-12-22
05336559,05934322,1978-08-16
05336559,06161282,1980-06-20
05336559,06374803,1982-05-04
05336559,06651042,1984-09-14
05336559,06873075,1986-06-02
05336559,07187933,1988-04-29
05336559,07310837,1989-02-14
05336559,07460289,1990-01-03
05336559,07588026,1990-09-25
05336559,07710141,1991-06-04
05336559,90004382,1996-09-23
05336559,07785504,1991-10-30
05338962,90000123,1981-12-10
05339476,06235374,1981-02-19
05339333,05908518,1978-05-22
05339333,90000125,1981-12-14
05329430,05548172,1975-02-07
05339496,05593607,1975-07-07
05339496,05593608,1975-07-07
05339496,05593609,1975-07-07
05339851,90001315,1987-08-27
05328347,90000174,1982-03-12
05328097,06354399,1982-03-03
05340830,05714369,1976-08-16
05323828,06324992,1981-11-25
05325620,05646860,1976-01-05
05342222,06031679,1979-04-19
05342222,06192578,1980-09-30
05342222,06394600,1982-07-02
05342290,05814100,1977-07-08
05341529,07028105,1986-10-14
05341529,90000120,1981-12-03
05341529,07393821,1989-08-15
05322800,05687639,1976-05-18
05343487,05960026,1978-11-13
05322573,05536700,1974-12-26
05322573,06386315,1982-06-08
05321421,05702623,1976-07-06
05321421,06031849,1979-04-20
05321421,05888288,1978-03-20
05321421,06023838,1979-03-26
05321421,06178520,1980-08-15
05321421,06323820,1981-11-23
05321421,06428476,1982-09-29
05321421,06881503,1986-06-27
05321421,07319976,1989-03-07
05344682,05560280,1975-03-20
05321154,05815989,1977-07-15
05344861,05745132,1976-11-26
05321077,06153244,1980-05-27
05343648,05454363,1974-03-25
05343648,05707702,1976-07-22
05343648,06043997,1979-05-31
05343648,06120753,1980-02-12
05343648,06310954,1981-10-13
05343648,06449085,1982-12-13
05343648,06798637,1985-11-15
05343648,07013211,1987-02-06
05345633,05744365,1976-11-23
05344867,06146554,1980-05-05
05346445,90000089,1981-10-15
05346445,90000542,1984-04-09
05343716,06124055,1980-02-25
05346815,05767956,1977-02-11
05346751,05867322,1978-01-05
05346751,06117239,1980-01-31
05346751,06376917,1982-05-10
05346751,06803148,1985-12-02
05347772,05779828,1977-03-21
05347772,06116855,1980-01-30
05347772,06234979,1981-02-17
05348092,05778180,1977-03-16
05348092,90000315,1983-01-13
05348092,06034023,1979-04-27
05348092,06147175,1980-05-06
05348092,06338048,1982-01-08
05348092,06705046,1985-02-25
05348567,05787193,1977-04-13
05349317,05870815,1978-01-19
05349317,05959162,1978-11-09
05349242,05819629,1977-07-27
05349169,06346422,1982-02-05
05350621,05889894,1978-03-24
05350525,06152531,1980-05-22
05350525,06760539,1985-07-30
05339817,05950901,1978-10-12
05339817,05860277,1977-12-13
05339817,06504691,1983-06-15
05339817,06505141,1983-06-16
05339817,06772961,1985-09-05
05339817,06818573,1986-01-13
05339817,07059286,1987-06-08
05339817,07059305,1987-06-08
05339817,07339566,1989-04-17
05339817,07357570,1989-05-25
05339817,07419911,1989-10-10
05339817,07763395,1991-09-20
05339817,07763461,1991-09-20
05339817,07764431,1991-09-23
05339817,07774159,1991-10-15
05339817,90002541,1991-12-13
05339817,06520277,1983-08-04
05339817,07182709,1988-04-18
05339817,07515881,1990-04-27
05339817,07515886,1990-04-27
05339817,08286620,1994-08-05
05339817,08464035,1995-06-05
05339817,06849071,1986-04-04
05339817,07191669,1988-05-09
05339817,07495808,1990-03-16
05339817,08445456,1995-05-31
05339817,08445457,1995-05-31
05339817,08445458,1995-05-31
05339817,08454810,1995-05-31
05339817,08454873,1995-05-31
05339817,08454874,1995-05-31
05339817,08454887,1995-05-31
05339817,08455297,1995-05-31
05339817,08455303,1995-05-31
05339817,08455309,1995-05-31
05339817,08455320,1995-05-31
05339817,08456128,1995-05-31
05339817,08456129,1995-05-31
05339817,08456261,1995-05-31
05339817,06160871,1980-06-19
05339817,06422932,1982-09-24
05339817,06424949,1982-09-27
05339817,07740682,1991-08-06
05339817,07963533,1992-10-20
05339817,08254818,1994-06-06
05339817,08283374,1994-08-01
05339817,08285669,1994-08-03
05339817,06160872,1980-06-19
05339817,08417532,1995-04-06
05339817,08418211,1995-04-06
05339817,08418212,1995-04-06
05339817,08418213,1995-04-06
05339817,08418215,1995-04-06
05339817,08418216,1995-04-06
05339817,08419326,1995-04-10
05339817,08419476,1995-04-10
05339817,08419584,1995-04-10
05339817,08419585,1995-04-10
05339817,08419586,1995-04-10
05339817,08419682,1995-04-10
05339817,08420170,1995-04-11
05339817,08420470,1995-04-12
05339817,08423058,1995-04-17
05339817,08423073,1995-04-17
05339817,08423234,1995-04-17
05339817,08423235,1995-04-17
05339817,08426450,1995-04-21
05339817,08426521,1995-04-21
05339817,08426548,1995-04-21
05339817,08426754,1995-04-21
05339817,08427547,1995-04-24
05339817,08428359,1995-04-21
05339817,07279592,1988-12-02
05339817,08435924,1995-05-05
05339817,08419590,1995-04-10
05339817,08419681,1995-04-10
05339817,08430089,1995-04-27
05339817,08432249,1995-05-01
05339817,07283661,1988-12-13
05339817,08435502,1995-05-05
05339817,07578041,1990-09-04
05339817,08429272,1995-04-24
05339817,08428737,1995-04-25
05339817,08436552,1995-05-08
05339817,08471214,1995-06-06
05339817,08471596,1995-06-06
05339817,08472025,1995-06-06
05339817,07059286,1987-06-08
05339817,07059305,1987-06-08
05349330,05851744,1977-11-15
05349330,06287032,1981-07-27
05349330,06380960,1982-05-21
05349330,06623569,1984-06-22
05350885,05830776,1977-09-06
05350885,06048385,1979-06-14
05350641,06188556,1980-09-18
05351673,05790641,1977-04-25
05352005,05852730,1977-11-18
05350799,06274674,1981-06-17
05352551,05713842,1976-08-12
05341448,06242747,1981-03-11
05340417,05914833,1978-06-12
05340417,06128693,1980-03-10
05340417,06128694,1980-03-10
05340417,06226868,1981-01-21
05352187,05805910,1977-06-13
05352187,06259015,1981-04-30
05340496,05755693,1976-12-30
05353451,06250304,1981-04-02
05341215,05554797,1975-03-03
05353983,05923151,1978-07-10
05351561,05668878,1976-03-22
05354412,05830957,1977-09-06
05336505,06302402,1981-09-15
05337257,05691696,1976-06-01
05355714,05663069,1976-03-02
05355260,05692054,1976-06-02
05337006,05766667,1977-02-08
05335320,05907962,1978-05-22
05354393,05717633,1976-08-25
05354393,06035978,1979-05-04
05354393,06302591,1981-09-15
05354393,06665508,1984-10-30
05354393,07892365,1992-06-03
05354393,08104645,1993-08-11
05356234,06158258,1980-06-10
05356820,06741393,1985-06-03
05356548,06049853,1979-06-18
05356548,06049514,1979-06-18
05356548,06049811,1979-06-18
05356548,06049812,1979-06-18
05336094,05967676,1978-12-08
05357206,06022740,1979-03-22
05357493,05873978,1978-01-31
05357493,06261623,1981-05-07
05335890,05971563,1978-12-20
05357063,05660258,1976-02-23
05356962,90002462,1991-10-04
05356962,90002748,1992-06-03
05354590,05815333,1977-07-13
05354590,05860251,1977-12-14
05354590,05860252,1977-12-14
05354590,05860253,1977-12-14
05354590,05860256,1977-12-14
05354590,05860257,1977-12-14
05354590,05860258,1977-12-14
05354590,05860259,1977-12-14
05354590,05860260,1977-12-14
05354590,05812285,1977-07-01
05354590,06191873,1980-09-29
05354590,06160872,1980-06-19
05354590,06520277,1983-08-04
05357920,90000193,1982-04-28
05357920,90000256,1982-09-13
05357892,05936876,1978-08-25
05357892,06112628,1980-01-16
05357892,06323690,1981-11-20
05357892,06472190,1983-03-04
05357892,07073769,1987-07-15
05357892,08465777,1995-06-06
05357892,08466660,1995-06-06
05357892,08468716,1995-06-06
05357892,08469689,1995-06-06
05358822,06074376,1979-09-10
05358822,06235872,1981-02-19
05358436,05703163,1976-07-07
05359842,05748740,1976-12-09
05359842,06228290,1981-01-26
05357969,90002013,1990-04-27
05357969,90002300,1991-03-19
05360039,05834815,1977-09-19
05360039,06160630,1980-06-18
05360363,05681511,1976-04-29
05360464,05875397,1978-02-06
05360113,06297766,1981-08-31
05360113,06469768,1983-02-25
05360559,05667782,1976-03-17
05361008,90000218,1982-06-16
05356824,05593359,1975-07-07
05355986,05871741,1978-01-23
05362199,05690051,1976-05-26
05361636,05694508,1976-06-09
05363480,05837233,1977-09-27
05362712,05630392,1975-11-10
05362712,06355931,1982-03-08
05362712,06361219,1982-03-24
05362712,06454923,1983-01-03
05362712,06511695,1983-07-07
05362712,07168797,1988-03-16
05363800,05543923,1975-01-24
05354255,05679727,1976-04-23
05354255,06023169,1979-03-23
05363801,05558447,1975-03-14
05363801,05543923,1975-01-24
05364264,06030538,1979-04-16
05364266,05523829,1974-11-14
05363318,06185871,1980-09-10
05363318,06185988,1980-09-10
05363318,06187524,1980-09-15
05363318,06612807,1984-05-22
05363318,07225362,1988-07-28
05363318,06172943,1980-07-28
05363318,06430612,1982-09-30
05363318,07016289,1987-02-19
05363318,06922460,1986-10-23
05363318,07103063,1987-09-30
05363318,07570597,1990-08-21
05363318,07769457,1991-10-01
05365241,90000215,1982-06-07
05353910,06098596,1979-11-29
05353910,06098679,1979-11-29
05364835,90000925,1985-12-16
05365500,06141654,1980-04-18
05365500,06696877,1985-01-31
05366244,06255707,1981-08-20
05366741,07059286,1987-06-08
05366741,07059305,1987-06-08
05366741,07339566,1989-04-17
05366741,07357570,1989-05-25
05366741,07419911,1989-10-10
05366741,08426754,1995-04-21
05366741,07059286,1987-06-08
05366741,07059305,1987-06-08
05367176,05971707,1978-12-21
05352861,90000947,1986-02-03
05352861,90001047,1986-06-27
05368218,05849816,1977-11-09
05368190,06277082,1981-06-25
05368369,06218548,1980-12-22
05368569,05622183,1975-10-10
05368627,05729039,1976-10-04
05368627,05836766,1977-09-26
05368627,05853768,1977-11-21
05368627,06221274,1980-12-30
05368627,06373535,1982-04-30
05368627,06661281,1984-10-16
05352613,06626404,1984-06-29
05368753,06614826,1982-12-15
05350794,05511210,1974-10-02
05368915,90000188,1982-04-08
05346742,05953866,1978-10-23
05346742,05953936,1978-10-23
05346630,05792977,1977-05-02
05370146,06102135,1979-12-10
05369236,05724942,1976-09-20
05369236,05890239,1978-03-27
05369236,05918817,1978-06-26
05369236,05918795,1978-06-26
05369236,06153573,1980-05-27
05369236,06390706,1982-06-21
05370756,06125750,1980-02-28
05371532,05771007,1977-02-22
05371541,05963891,1978-11-27
05371685,05874520,1978-02-02
05370235,06014826,1979-02-26
05370235,06142113,1980-04-21
05370235,06216558,1980-12-15
05372074,05858726,1977-12-08
05372308,05743395,1976-11-19
05372980,06053993,1979-07-02
05373220,90000892,1985-11-01
05373744,06060028,1979-07-23
05369710,05543876,1975-01-24
05374588,05843776,1977-10-20
05372397,06118459,1980-02-04
05372397,06343225,1982-01-27
05371945,90000041,1981-07-30
05375455,05642239,1975-12-18
05368756,06183107,1980-09-02
05368756,06472225,1982-12-15
05375065,06078499,1979-09-24
05375065,05839180,1977-10-04
05375065,05859476,1977-12-12
05375065,05949863,1978-10-10
05375065,05969355,1978-12-14
05375065,05941596,1978-09-12
05375065,06133098,1980-03-24
05375065,06290819,1981-08-07
05375065,06292635,1981-08-13
05376159,05928145,1978-07-26
05376335,05860567,1977-12-14
05376341,06015964,1979-02-28
05376586,05853663,1977-11-21
05376188,05808545,1977-06-21
05375107,06139373,1980-04-21
05377124,06835810,1986-03-03
05368735,05952938,1978-10-19
05368168,05910730,1978-05-30
05368168,06101594,1979-12-10
05368168,06101595,1979-12-10
05368168,06101596,1979-12-10
05368168,06101600,1979-12-10
05368168,06174086,1980-07-31
05377810,90003000,1993-03-09
05366955,05835071,1977-09-20
05376919,90001591,1988-08-30
05378123,90000577,1984-06-15
05378301,05596332,1975-07-16
05378301,05596334,1975-07-16
05378616,90001411,1988-01-11
05364806,05516280,1974-10-21
05362676,90001707,1989-02-03
05364381,06179277,1980-08-18
05363445,05644788,1975-12-29
05363445,06172725,1980-07-28
05362578,90000725,1985-02-19
05361407,05839180,1977-10-04
05361407,06078499,1979-09-24
05361407,05969355,1978-12-14
05361407,05859476,1977-12-12
05361407,05941596,1978-09-12
05361407,06133098,1980-03-24
05361407,06290819,1981-08-07
05361407,06292635,1981-08-13
05380124,05670076,1976-03-24
05380124,06027024,1979-04-04
05380124,06197747,1980-10-16
05380124,06197748,1980-10-16
05360255,90000898,1985-11-05
05360255,90000964,1986-03-07
05380814,90000544,1984-04-16
05380778,06139906,1980-04-14
05380865,90000923,1985-12-13
05381479,90000023,1981-07-10
05381191,05819831,1977-07-28
05357616,05614834,1975-09-19
05357616,05851504,1977-11-14
05357616,06071741,1979-08-30
05357616,06242350,1981-03-10
05357616,06417214,1982-09-13
05357616,06238500,1981-02-26
05357616,06310085,1981-10-09
05357616,06242350,1981-03-10
05357616,06849533,1986-04-08
05357616,07204928,1988-05-31
05357616,06242350,1981-03-10
05357616,06605248,1984-04-30
05357616,06242350,1981-03-10
