application_number,pto_delay_a,pto_delay_b,pto_delay_c,overlap_pto_delay,nonoverlap_pto_delay,pto_manual_adjustment,applicant_delay,patent_term_adjustment
08281007,0,0,0,0,32,0,120,0
08281009,0,0,0,0,71,0,30,41
08282557,0,0,0,0,0,0,60,0
08286107,0,0,0,0,0,0,99,0
08244943,0,0,0,0,0,0,89,0
08287358,505,0,0,0,505,305,182,628
08288313,0,0,0,0,0,0,126,0
08291320,0,0,0,0,19,0,126,0
08292782,94,0,0,0,94,0,500,0
08301516,0,0,0,0,0,0,67,0
08302601,0,0,0,0,0,0,75,0
08303158,0,0,0,0,0,0,98,0
08305188,0,0,0,0,0,0,142,0
08305733,0,0,0,0,0,0,92,0
08307167,0,0,0,0,0,0,60,0
08307249,0,0,0,0,0,0,53,0
08309323,0,0,0,0,0,0,117,0
08308963,0,0,0,0,66,0,120,0
08315138,0,0,0,0,0,0,94,0
08312336,65,0,0,0,65,0,917,0
08314948,0,0,0,0,0,0,0,0
08315629,0,0,0,0,23,0,0,23
08316385,0,0,0,0,5,0,126,0
08316384,624,0,0,0,624,0,382,242
08316938,0,0,0,0,0,0,0,0
08321597,268,0,0,0,268,-37,231,0
08322678,0,0,0,0,65,0,248,0
08324386,0,0,0,0,0,0,177,0
08329075,30,0,0,0,48,0,177,0
08329109,0,0,0,0,0,0,140,0
08325278,1,0,0,0,1,0,455,0
08329257,0,0,0,0,0,0,120,0
08325457,0,0,0,0,0,0,353,0
08330768,0,0,0,0,0,0,49,0
08332005,0,0,0,0,0,0,86,0
08335416,0,0,0,0,23,0,151,0
08334775,0,0,0,0,85,0,0,85
08338141,50,0,0,0,50,0,292,0
08337120,0,0,0,0,0,0,181,0
08340546,0,0,0,0,0,0,70,0
08342244,0,0,0,0,0,0,154,0
07720777,0,0,0,0,0,0,144,0
08342695,0,0,0,0,0,0,0,0
08345863,0,0,0,0,0,0,61,0
08348471,0,0,0,0,66,0,179,0
08347814,0,0,0,0,0,0,53,0
08352079,0,0,0,0,864,0,267,597
08349029,0,0,0,0,40,0,120,0
08353375,82,0,0,0,82,0,0,82
08351602,719,0,0,0,719,0,122,597
08351605,0,0,0,0,11,0,59,0
08351908,0,0,0,0,0,0,111,0
08352432,0,0,0,0,0,0,121,0
08352518,0,0,0,0,0,0,89,0
08352879,0,0,0,0,0,0,268,0
08353554,0,0,0,0,23,0,0,23
08353906,0,0,0,0,2,0,119,0
08354177,0,0,0,0,0,0,129,0
08354559,0,0,0,0,0,0,74,0
08356791,407,0,0,0,407,0,1135,0
08355822,0,0,0,0,0,0,77,0
08357320,0,0,0,0,0,0,153,0
08357944,0,0,0,0,0,0,95,0
08361390,0,0,0,0,0,0,0,0
08364589,0,0,0,0,0,0,0,0
08365077,0,0,0,0,0,0,113,0
08366090,0,0,0,0,0,0,61,0
08366083,140,0,0,0,140,0,439,0
08366372,0,0,0,0,0,0,99,0
08366439,0,0,0,0,0,0,0,0
08369215,0,0,0,0,0,0,6,0
08362455,462,332,0,0,794,505,495,804
08374397,0,0,0,0,0,0,39,0
08375681,0,0,0,0,0,0,0,0
08376372,0,0,0,0,0,0,22,0
08374692,0,0,0,0,288,0,120,168
08377829,33,0,0,0,184,0,211,0
08378747,0,0,0,0,8,0,32,0
08379813,0,0,0,0,0,0,0,0
08380140,9,0,0,0,11,0,291,0
08382452,0,0,0,0,12,0,120,0
08382806,0,0,0,0,0,0,301,0
08382937,0,0,0,0,0,0,0,0
08384457,0,0,0,0,0,0,120,0
08384469,0,0,0,0,0,0,220,0
08384456,343,360,0,0,703,0,48,655
08383133,0,0,0,0,0,0,191,0
08383339,265,0,0,0,265,0,64,201
08384237,1505,0,0,0,1505,0,512,993
08385746,36,0,0,0,36,0,510,0
08386813,0,0,0,0,0,0,108,0
08385976,0,0,0,0,0,0,165,0
08387046,0,0,0,0,0,0,0,0
08386371,0,0,0,0,0,0,80,0
08386857,0,0,0,0,145,0,303,0
08387158,153,0,0,0,153,0,41,112
08389335,0,0,0,0,0,0,45,0
08388819,0,0,0,0,0,0,0,0
08389860,0,0,0,0,0,0,101,0
08390180,154,0,0,0,154,0,115,39
08390714,0,0,0,0,0,0,330,0
08390862,0,0,0,0,111,0,218,0
08393617,44,0,0,0,44,0,10,34
08393493,0,0,0,0,0,0,81,0
08403416,0,0,0,0,127,0,215,0
08391388,15,0,0,0,70,0,144,0
08395207,113,0,0,0,113,0,109,4
08396600,0,0,0,0,0,0,70,0
08362478,0,0,0,0,0,0,23,0
08397639,0,0,0,0,0,0,32,0
08397910,0,0,0,0,109,0,237,0
08398555,309,0,0,0,309,0,59,250
08398881,133,0,0,0,505,0,254,251
08399690,10,0,0,0,10,0,28,0
08400861,0,0,0,0,0,0,56,0
08401514,0,0,0,0,0,0,0,0
08401995,0,0,0,0,0,0,83,0
08402023,0,0,0,0,0,0,271,0
08401984,0,0,0,0,0,0,84,0
08405271,0,0,0,0,0,0,102,0
08406586,0,0,0,0,0,0,54,0
08409191,0,0,0,0,0,0,59,0
08409893,0,0,0,0,0,0,84,0
08406892,339,0,0,0,339,0,0,339
08412573,0,0,0,0,0,0,0,0
08412676,138,0,0,0,171,0,218,0
08412319,0,0,0,0,2,0,120,0
08413805,0,0,0,0,0,0,0,0
08414865,0,0,0,0,0,0,0,0
08418992,0,0,0,0,2,0,116,0
08417345,0,0,0,0,0,0,0,0
08418093,0,0,0,0,0,0,67,0
08417858,0,0,0,0,0,0,31,0
08418986,0,0,0,0,34,0,123,0
08419512,0,0,0,0,0,0,239,0
08419619,0,0,0,0,18,0,215,0
08420047,0,0,0,0,0,0,246,0
08420633,0,0,0,0,0,0,163,0
08420672,0,0,0,0,0,0,96,0
08421055,846,288,0,0,1876,0,296,1580
08421457,0,0,0,0,0,0,151,0
08421931,0,0,0,0,181,0,211,0
08422770,0,0,0,0,0,0,86,0
08422360,842,0,0,0,842,0,179,663
08424600,0,0,0,0,0,0,214,0
08423903,81,0,0,0,81,0,230,0
08425175,0,0,0,0,1,-1,0,0
08425793,0,0,0,0,0,0,0,0
08425768,0,0,0,0,49,0,124,0
08426090,20,0,0,0,20,0,69,0
08426972,0,0,0,0,0,0,122,0
08427734,0,0,0,0,0,0,92,0
08427949,0,0,0,0,0,0,7,0
08428325,1424,0,0,0,1424,0,3339,0
08429230,112,0,0,0,112,0,311,0
08429464,62,0,0,0,62,0,270,0
08430173,0,0,0,0,0,0,0,0
08431688,0,0,0,0,51,2,0,53
08431718,0,0,0,0,0,0,117,0
08431719,0,0,0,0,50,0,109,0
08431889,0,0,0,0,0,0,0,0
08432560,0,0,0,0,0,0,64,0
08431644,666,114,0,0,780,0,215,565
08432894,0,0,0,0,0,0,0,0
08428238,244,0,0,0,244,0,921,0
08434542,0,0,0,0,0,0,0,0
08435178,0,0,0,0,0,0,118,0
08436619,0,0,0,0,0,0,383,0
08436689,0,0,0,0,0,0,0,0
08436830,0,0,0,0,0,0,3,0
08437221,0,0,0,0,0,0,63,0
08436182,0,0,0,0,8,0,0,8
08437382,0,0,0,0,0,0,0,0
08437943,0,0,0,0,0,0,6,0
08438265,0,0,0,0,0,0,70,0
08437952,0,0,0,0,0,0,109,0
08438492,0,0,0,0,0,0,95,0
08438800,121,0,0,0,121,0,795,0
08439793,0,0,0,0,0,0,67,0
08440362,0,0,0,0,0,0,0,0
07455354,0,0,0,0,0,0,120,0
08440879,0,0,0,0,421,0,0,421
08441142,0,0,0,0,8,0,0,8
08442769,0,0,0,0,0,0,94,0
08443180,0,0,0,0,0,0,47,0
08443307,0,0,0,0,0,0,128,0
08443530,0,0,0,0,12,0,304,0
08443507,70,0,0,0,70,0,242,0
08521852,0,0,0,0,32,0,109,0
08444387,0,0,0,0,0,0,28,0
08444517,274,0,0,0,274,0,120,154
08445435,0,0,0,0,312,0,0,312
08445592,0,0,0,0,0,0,0,0
08446148,0,0,0,0,5,0,120,0
08446473,8,0,0,0,8,0,5,3
08445997,0,0,0,0,0,0,0,0
08448763,0,0,0,0,0,0,306,0
08449071,0,0,0,0,12,0,176,0
08449956,0,0,0,0,0,0,0,0
08450555,221,0,0,0,221,0,58,163
08450553,0,0,0,0,0,0,0,0
08450809,0,0,0,0,0,0,111,0
08450962,0,0,0,0,0,0,145,0
08450842,0,0,0,0,0,0,196,0
08451318,0,0,0,0,0,0,118,0
08451378,0,0,0,0,0,0,33,0
08451888,6,0,0,0,6,0,137,0
08452255,0,0,0,0,72,0,0,72
08453878,0,0,0,0,11,0,214,0
08455366,0,0,0,0,0,0,35,0
08455960,0,0,0,0,0,0,0,0
08456294,82,0,0,0,82,0,50,32
08454261,0,0,0,0,6,0,120,0
08456373,0,0,0,0,0,0,11,0
08457650,22,0,0,0,22,0,299,0
08457781,0,0,0,0,0,0,133,0
08457905,0,0,0,0,0,0,184,0
08424545,282,0,0,0,301,0,33,268
08458628,64,0,0,0,64,0,86,0
08458841,495,0,0,0,495,0,370,125
08459537,0,0,0,0,0,0,0,0
08459986,0,0,0,0,0,0,53,0
08460736,0,0,0,0,0,0,106,0
08464003,6,0,0,0,6,0,137,0
08424550,0,0,0,0,158,0,0,158
08460876,0,0,0,0,0,0,112,0
08461210,0,0,0,0,0,0,64,0
08461562,0,0,0,0,15,0,184,0
08461722,0,0,0,0,0,0,92,0
08462159,79,127,0,0,206,0,179,27
08462273,0,0,0,0,0,0,154,0
08462512,0,0,0,0,0,0,319,0
08463261,225,0,0,0,225,0,0,225
08463534,0,0,0,0,49,0,0,49
08464022,180,0,0,0,180,0,110,70
08464298,0,0,0,0,0,0,70,0
08464250,0,0,0,0,126,0,0,126
08465322,173,0,0,0,173,0,294,0
08465354,154,0,0,0,193,0,302,0
08465479,0,0,0,0,0,0,0,0
08469065,0,0,0,0,7,0,124,0
08448393,0,0,0,0,0,0,101,0
08465679,0,0,0,0,44,117,124,37
08465769,0,0,0,0,0,-17,0,0
08466395,174,0,0,0,174,0,524,0
08466554,449,0,0,0,449,0,507,0
08466932,0,0,0,0,40,0,230,0
08467438,0,0,0,0,0,0,0,0
08467232,0,0,0,0,0,0,50,0
08467711,100,0,0,0,100,0,211,0
08467876,0,0,0,0,0,0,122,0
08468145,0,0,0,0,0,0,251,0
08469260,137,0,0,0,137,0,89,48
08469633,0,0,0,0,0,0,328,0
08469770,0,0,0,0,0,0,71,0
08470330,0,0,0,0,0,0,0,0
08470106,0,0,0,0,52,0,148,0
08470390,0,0,0,0,0,0,191,0
08470830,79,0,0,0,79,0,1047,0
08471645,72,0,0,0,72,0,218,0
08471974,8,0,0,0,8,0,145,0
08471705,59,0,0,0,77,0,293,0
08472701,0,0,0,0,0,0,109,0
08483561,0,0,0,0,0,0,205,0
08472376,0,0,0,0,0,0,0,0
08472365,19,0,0,0,19,0,0,19
08472515,0,0,0,0,0,0,160,0
08472770,0,0,0,0,0,0,57,0
08473089,0,0,0,0,152,0,120,32
08472928,592,247,0,0,839,-34,805,0
08474233,0,0,0,0,0,0,176,0
08474903,0,0,0,0,0,0,2,0
08475542,0,0,0,0,0,0,124,0
08476497,513,0,0,0,513,0,0,513
08476682,0,0,0,0,0,0,0,0
08477393,0,0,0,0,0,0,107,0
08477346,0,0,0,0,0,0,74,0
08477669,0,0,0,0,90,0,201,0
08478356,0,0,0,0,0,0,240,0
08478397,0,0,0,0,0,0,109,0
08478469,1905,0,0,0,1905,0,194,1711
08478892,0,0,0,0,0,0,0,0
08479477,0,0,0,0,0,0,96,0
08479660,123,0,0,0,123,0,168,0
08479938,129,0,0,0,129,0,16,113
08480543,0,0,0,0,0,0,34,0
08480967,0,0,0,0,360,0,132,228
08481186,0,0,0,0,0,0,0,0
08482191,72,0,0,0,194,0,336,0
08482173,0,0,0,0,738,0,284,454
08482218,0,0,0,0,94,0,56,38
08482402,1526,0,0,0,1526,0,781,745
08482569,0,0,0,0,13,0,30,0
08483228,0,0,0,0,0,0,85,0
08483441,0,0,0,0,0,0,87,0
08484172,0,0,0,0,0,0,155,0
08484554,0,0,0,0,0,0,93,0
08484722,16,0,0,0,16,0,118,0
08484730,0,0,0,0,126,0,120,6
08484885,0,0,0,0,0,0,114,0
08484724,0,0,0,0,0,0,121,0
08485163,764,143,0,0,907,0,542,365
08485397,0,0,0,0,0,0,174,0
08485393,0,0,0,0,31,0,0,31
08485304,0,0,0,0,21,0,250,0
08485460,0,0,0,0,0,0,0,0
08486062,870,547,0,0,1417,0,659,758
08486354,0,0,0,0,53,0,426,0
08486683,0,0,0,0,0,0,0,0
08487072,0,0,0,0,0,0,120,0
08487081,125,0,0,0,125,0,755,0
08487429,9,0,0,0,9,0,188,0
08487544,0,0,0,0,0,0,120,0
08487629,0,0,0,0,0,0,31,0
08487672,0,0,0,0,96,0,120,0
08487756,0,0,0,0,0,0,96,0
08488123,0,0,0,0,0,0,93,0
08482199,0,0,0,0,66,0,120,0
08486544,0,0,0,0,0,0,0,0
