application_number,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_city_name,inventor_region_code,inventor_country_code
09147146,ARTHUR,JOHN,ARNOLD,1,,,GB
09117199,MANFRED,,DIELS,1,,,DE
09101580,STANLEY,W,FOWERS,1,,,GB
09101054,SERGEEVICH,A,NEAPOLITANSKY,1,,,RU
09147272,FRITZ,,EHLERT,1,,,
09155144,DANIEL,,OSER,1,,,
09147452,CHRISTOPH,,ERHARDT,1,,,
09155402,CLAUDE,,GUTTMANN,1,,,FR
09092710,ANTONIO,P.,SPATRISANO,1,PALERMO,,IT
09092710,LUCIANO,,GANDOLFI,2,CORSICO,,IT
09092710,CARLO,,MINOTTI,3,CATANIA,,IT
09092710,NATALE,DI,CRISTINA,4,PALERMO,,IT
09101448,GIOVANNA,,QUAGLIARELLA,1,,,
09091926,JI-SHENG,,WU,1,,,CN
09171144,URS,,GISIGER,1,,,CH
09093066,MICHAEL,S.,DOBBINS,1,,,
09093066,ROBERT,E.,MC LAY,2,,,
09171449,STEFAN,,TREINIES,1,,,DE
09160474,JACEK,MICHAL,MISIURA,1,QUEENSLAND,,AU
09171101,MARK,,DAVIES,1,,,GB
09171568,NEIL,,MCMURRAY,1,,,GB
09171800,ZENYA,,OTOMO,1,,,JP
09171408,ADRIAN,CHARLES,O'DONNELL,1,,,GB
09180387,EVGENY,INVIEVICH,GIVARGIZOV,1,,,RU
09180830,JIAN,DONG,LI,1,,,US
09180922,KAROI,,ASANO,1,,,US
09179758,JOHN,M.,COWLEY,1,TEMPE,AZ,US
09179758,VALERY,V.,SMIRNOV,2,ST. PETERSBURG,,RU
09179758,JOHN,C.H.,SPENCE,3,TEMPE,AZ,US
09180910,KAORI,,ASANO,1,,,US
09180912,KAROI,,ASANO,1,,,US
09180911,KAROI,,ASANO,1,,,US
09180914,KAROI,,ASANO,1,,,US
09091766,MICHAEL,J,SWEETLOVE,1,,,NZ
09091914,QING-HUA,,ZHANG,1,,,CN
09180917,KAROI,,ASANO,1,,,US
09011148,SEISHI,,KATO,1,KANAGAWA,,JP
09011148,TOMOKO,,YAMAGUCHI,2,TOKYO,,JP
09011148,SHINGO,,SEKINE,3,KANAGAWA,,JP
09011148,KOUJU,,KAMATA,4,KANAGAWA,,JP
09068349,RICHARD,SHELDON,COOK,1,,,GB
09043946,BERNHARD,,LUTZ,1,,,
09180962,KAROI,,ASANO,1,,,US
08983058,KAI,,WOELTJE,1,,,DE
08662531,MICHAEL,R.,HATCH,1,MOUNTAIN VIEW,CA,US
08662531,CHAK,M.,LEUNG,2,PALO ALTO,CA,US
08622214,GREGORY,,CLARK,1,WESTON,CT,US
09180959,KAROI,,ASANO,1,,,US
08682501,FRANK,,GALLERT,1,,,DE
08709377,claudio,,dornier,1,steinhausen,,CH
08522419,JAMES,A.,MCEWEN,1,,,
07098353,RAINER,,GROSS,1,WUPPERTAL,,DE
07098353,MATTHIAS,,SCHRAMM,2,KOELN,,DE
09194287,JOHANNES,ANTONIUS B,GEERDINK,1,,,NL
08397222,THEODORE,K.,HUNTER,1,,,US
09194546,OTTO,,SCHALLNER,1,,,
09194081,MARGARET,,HARDING,1,,,AU
09202151,STEVEN,MARK,BARNARD,1,,,
09202236,WILLEM,ABRAHAM,VAN ROOIJEN,1,,,US
09202166,PAUL,,MYIRJESY,1,,,US
07663952,KATSUYUKI,,OSHIMA,1,TOKYO,,JP
07663952,JITSUHIKO,,ANDO,2,TOKYO,,JP
07663952,MASANORI,,TORII,3,TOKYO,,JP
09202296,TIMOTHY,WILLIAM,TOD,1,,,GB
09202612,PEKKA,,HEINONEN,1,,,FI
09214142,MICHAEL,JOHN,TAUSSIG,1,,,GB
09202792,GUIDO,,HEYNS,1,,,
09202563,UWAGAWA,,SATOSHI,1,,,JP
09202623,KAP,J,SHIN,1,,,US
09214558,CLAUDE,,OBERLANDER,1,,,FR
09214557,CLAUDE,,OBERLANDER,1,,,FR
09214860,PHILIPPE,,MONNIER,1,,,DE
09214817,DANIEL,S,KWOH,1,,,US
09214995,DANIEL,ROBERT,GENTRY,1,,,US
09202099,CHRISTOPHER,CHARLES,NAYLOR,1,,,GB
09230627,GEORG,,ADOLPHS,1,,,
09214509,IAN,S,PARKER,1,,,CA
09230337,ULRIKE,,KUEFNER-MUEHL,1,,,
09230437,BRIAN,WILLIAM JOSEPH,MCGUINNESS,1,,,US
09242157,PETER,,VOLZ,1,,,
09230843,STEPHEN,J,GRABNER,1,,,GB
09230736,HENRY,KEVIN,RATCLIFF,1,,,GB
09242021,STEFAN,,KEMNA,1,,,
09230492,ROBIN,RICHARD,RUDOLPH,1,,,
09242390,PAUL,ANTHONY,ZAFFIRO,1,,,US
09242531,RABAH,,ARHAB,1,,,FR
09242608,JONAS,,EKSTRAND,1,,,SE
09242725,SAMY,,ASHKAR,1,,,US
09254155,MARTIN,ARTHUR,CLAYDON,1,,,GB
09242564,TREVOR,THOMAS,ESPLIN,1,SANCTUARY POINT,,AU
09254299,JEREMY,N,BRADBEER,1,,,US
09254304,JEREMY,N,BRADBEER,1,,,US
09254441,NANNI,,DIN,1,,,DK
09254568,EDWARD,J,HALL,1,,,US
09230208,SEAN,,KERWIN,1,,,US
09242401,SHLOMO,,MAGDASSI,1,,,US
09254575,BEREND,,HENDRIKSEN,1,,,
09254935,RICHARD,,SNYDER,1,,,US
09254909,VANESSA,,HSEI,1,,,US
09269195,RAYMOND,,BARBARIN,1,,,FR
09269044,GORDON,,EVANS,1,,,US
09269310,ATSUSHI,,MIYABO,1,,,US
09269652,LUTZ-MICHAEL,,BERGER,1,,,DE
09254131,OLIVIER,,DION,1,,,FR
09224275,NOZOMU,,ARIMOTO,1,TAKATSUKI-CITY,,JP
09224275,HIDEKAZU,,HAYAMA,2,MORIGUCHI-CITY,,JP
09224275,TOSHIHIDE,,TAKAHASHI,3,OSAKA-CITY,,JP
09224275,HITOAKI,,TOHDA,4,OSAKA-CITY,,JP
09242653,ERIC,GREGORY,KUBICA,1,,,CA
09284097,BALAN,,CHENERA,1,,,US
09269841,MICHAEL,,DENNIS,1,,,CA
09284681,ANDRE,,LABA,1,,,
09284809,BRIAN,L,KLOSTERMAN,1,,,US
09284997,REMI,,DELANSORNE,1,,,
09242618,LASSE,,LEIRFALL,1,,,NO
09269814,JAY,IAN,KAHN,1,,,US
09284298,LUIS,,RODRIGUEZ MENOCAL,1,,,CU
09297321,ERNEST,,COUTTS,1,,,GB
09297805,ROBIN,JAMES,PRICE,1,,,GB
09308288,LUTZ,,CLAES,1,,,CH
09242360,HEINZ,DIETER,KLAUER,1,,,DE
09253022,JOHN,J.,HARRINGTON,1,MENTOR,OH,US
09253022,BRUCE,,SHERF,2,SPENCER,OH,US
09253022,STEPHEN,,RUNDLETT,3,CHAGRIN FALLS,OH,US
09308687,BERTIL,,ROGMARK,1,,,SE
09214899,AHARON,,EYAL,1,,,GB
09297579,ULRICH,,DURR,1,,,CH
09308704,MICHAEL,K,LAUGHNER,1,,,US
09308765,PAUL,,BOOTH,1,,,GB
09308988,GREGORY,LYNN,MCINTIRE,1,,,GB
09308795,ALFRED,L,GOLDBERG,1,,,US
09319098,JOHN,,BATES,1,,,GB
09319151,CARLOS,RENE,SIGNORET,1,,,
09324197,KENNETH,,TEPPER,1,,,
09319420,ANDREA,,ETTEMEYER,1,,,
09319140,WOLFGANG,,MESCHEDE,1,,,DE
09319408,CHRISTOPHER,GEORGE,COWAN,1,,,GB
09331263,PATRICIA,LYNNE,CONWAY,1,,,AU
09331363,PAUL,,BACON,1,,,GB
09230057,ERIC,MALCOLM,VOLLETT,1,,,GB
09331337,MICHAEL,D,WEST,1,,,US
09214096,PAVEL,,KOULIK,1,,,CH
09341166,FRANCOIS-PAUL,,JOURNE,1,,,CH
09319869,WALTER,,PITTIGLIANI,1,,,IT
09331881,DAVOUD,,SHAHROKHSHAHI,1,,,DE
09319830,JEAN-MICHEL,,AUGER,1,,,FR
09331976,FABIENNE,,LE PELTIER,1,,,FR
09341182,DAE,WHANG,KIM,1,,,KR
09331822,CONSTANTIN,,AGOURIDAS,1,,,FR
09341974,DAVID,JOHN,TOWNSON,1,,,GB
09331009,BRETT,JOHN,YOUNG,1,,,AU
09355103,ANGELO,,BENEDETTI,1,,,
09341867,WOLFGANG,,STEINLEITNER,1,,,AT
09341593,GERD,,MATTERN,1,,,US
09319390,SURESH,E,GUPTA,1,,,US
09355896,ANDREAS,,HILBURG,1,,,
09367237,CHUAN,,SHIH,1,,,US
09355321,ISRAEL,,NUR,1,,,
09355802,DAVID,,OWENS,1,,,GB
09355899,JEREMY,KENNETH,FIRBANK,1,,,GB
09355904,JEREMY,KENNETH,FIRBANK,1,,,GB
09202489,NICHOLAS,,PAIGE,1,,,GB
09194871,ERICA,,POTTER,1,,,AU
09367304,JARL,,WIKBERG,1,,,SE
09194456,YONG,KUN,PARK,1,,,BR
09367444,KEVIN,,RYAN,1,,,
09380096,TRACEY,LEHANNE,MYNOTT,1,,,GB
09367402,HAIM,,HAZAN,1,,,IL
09380097,TRACEY,LEHANNE,MYNOTT,1,,,GB
09380116,LEE,L,SWANSTROM,1,,,US
09380028,KAZUAKI,,FUKUOKA,1,,,JP
09380551,CHUNG,BUM,PARK,1,,,KR
09380800,ROBERT,J,LIPSHUTZ,1,,,US
09380261,CLAUDE,,ROUX,1,,,FR
09380597,HARRY,BERNARD,SPOELSTRA,1,,,BE
09380559,FREDERICK,FORBES,VANNAN,1,,,US
09184405,Martin,C.,Roberts,1,Boise,ID,
09380110,CONSTANTIN,,AGOURIDAS,1,,,FR
09381432,R,A,LAINE,1,,,US
09380993,JAMES,DURNIAN,DYET,1,,,GB
09194225,BERNARD,,CASTAGNER,1,,,FR
09381475,FONCILLAS,,MARRO,1,,,ES
09381210,BARRY,,STURGEON,1,,,AU
09381356,HERBERT,,NOPPER,1,,,
09380925,KEITH,,TIPSON,1,,,IE
09381482,DIETER,,METZNER,1,,,DE
09381510,JEAN-PAUL,,BASTIEN,1,,,
09180963,KAROI,,ASANO,1,,,US
09381824,EVAN,W,STEEG,1,,,CA
09381533,HONGTAO,,LIAO,1,,,
09381499,GEORGE,A,ALTEMOSE,1,,,US
09381514,LAURENT,,FICHET,1,,,
09381566,STEVEN,,SMITH,1,,,GB
09194037,HELMUTH,,PAYER,1,,,
09180958,KAROI,,ASANO,1,,,US
09381816,PAUL,B,FISHER,1,,,US
09402172,ASHISH,,CHATTERJEE,1,,,
09402082,GUENTHER,,NATH,1,,,DE
09402150,DAVID,M,MACWATT,1,,,GB
09381935,FRANCES,H,ARNOLD,1,,,US
09180957,KAROI,,ASANO,1,,,US
09402197,TONY,,WILSON,1,,,GB
09402238,MCCORD,WINN,TEXTRON,1,,,US
09402257,ERIC,,STOHLER,1,,,US
09402363,SZE-MAN,LOUISA,MOK,1,,,
09402804,JAN,PIETER HENDRIK,BOSSELAERS,1,,,
09403097,KIAN,TIONG,PANG,1,,,GB
09180915,KAROI,,ASANO,1,,,US
09155588,DANIEL,EDWARD,SCHUSTER,1,NORTH ROYALTON,OH,US
09155588,JOHN,JAMES,SERICH,2,POLAND,OH,US
09402912,JEAN-PHILLIPE,,KERVERN,1,,,FR
09403052,ALLEN,,HERTZ,1,,,US
09403136,DAVID,,STAELIN,1,,,US
09403435,JURGEN,,STRAUSS,1,,,
09180913,KAROI,,ASANO,1,,,US
09403166,BERNARD,,KRAEUTLER,1,,,FR
09403576,PANAGIOTIS,,DOUNIS,1,,,
09402508,James,Edwin,Hailey,1,Indianapolis,IN,US
09402508,Michael,Wayne,Johnson,2,,,
09402508,Hugh,Boyd,Morrison,3,,,
09402508,Robert,Joseph,Logan,4,,,
09402508,Robert,Shipworth,Comer,5,,,
09402508,Sheila,Renee,Crosby,6,,,
09155835,KLAUS,,DIETRICH,1,LEONBERG,,DE
09155835,HEIKO,,STERZ,2,WILDBERG,,DE
09403578,MALCOLM,,WILLARS,1,,,
09171422,JOHN,D,MILLER,1,,,US
09159726,GUNTHER,,MEIER,1,VLOTHO,,DE
09171440,JOHN,F,HILDEBRANDT,1,,,
09155384,BRUCE,,BITOWFT,1,,,US
09403188,PAUL,T,MARAVETZ,1,,,US
09155778,TAKAYUKI,,GOTO,1,,,US
09403793,JUDY,PATRICIA,FREEMAN,1,,,GB
09403716,ROD,,ABRAMSON,1,,,US
09147982,JOHN,MCMILLAN,MCIVER,1,,,US
09403649,REINHOLD,,RADSZUWEIT,1,,,SE
09403873,JOSEPH,A,MCCLINTOCK,1,,,US
09403970,CHRISTINA,M,MARSHALL,1,,,US
09423194,SANAE,,UEDA,1,,,JP
09423221,YONGSHENG,,HE,1,,,US
09423209,RABAH,,ARHAB,1,,,FR
09423222,MOHAMMED,,CHOWDURY,1,,,US
09423362,PRAMESH,,KOVOOR,1,,,AU
09423405,PAUL,,TAYLOR,1,,,IE
09423537,JURGEN,,BEHNERT,1,,,
09423680,WITOLD,,HANSSON,1,,,SE
09423918,PAUL,FRANCIS,GROGAN,1,,,AU
09403885,MANFRED,,KUHN,1,,,
09403924,LUDGER,,DINKELBORG,1,,,
09147085,ANDREW,H,RENFREW,1,,,GB
09424002,JAMES,P,ROMANO,1,,,US
09443095,JOSEF,,HEVELING,1,,,
09403819,JOHN,MICHAEL,CORBETT,1,NEW SOUTH WALES,,AU
09403819,JOHN,MICHAEL,CORBETT JR.,2,NEW SOUTH WALES,,AU
09428462,JOACHIM,,ALTDORF,1,KOLN,,DE
09428462,MICHAEL,,SCHEBITZ,2,ESCHWEILER,,DE
09428462,ERNST-SIEGFRIED,,HARTMANN,3,OVERATH,,DE
09428462,THOMAS,,SCHWADERLAPP,4,DORMAGEN,,DE
09428462,JURGEN,,WAHNSCHAFFE,5,BERGISCH GLADBACH,,DE
09445261,PETER,,BLOECHL,1,,,
09445785,ROBERT,,BAYNE,1,,,GB
09142963,EYAL,,GEVER,1,,,IL
09445548,ERHARD,,SCHNELL,1,,,AT
09424365,RUDOLF,,STOCKMANN,1,,,
09445620,Ricky,Ah-Ma,Woo,1,,,
09142895,PETER,,JEANSEAU,1,,,US
09142723,STEPHEN,DERECK,JENKINS,1,,,GB
09142182,ERNEST,,IGL-HOFMAN,1,,,CH
09445935,GIANFRANCO,,PALUMBO,1,,,US
09445469,DOMENICO,,UNGHERI,1,,,
09445866,LUIGI,,CUCINOTTA,1,,,GB
09446410,HELMUT,,ELKENDORF,1,,,
09446210,MICHAEL,J,ELDER,1,,,
09446639,ISRAEL,,RADOMSKY,1,,,IL
09446791,CLAUDE,W,BOLTON JR,1,,,US
09446470,BERND,,DIENHART,1,,,DE
09142004,EARLE,,MACHARDY,1,Durham,NC,US
09142004,Harald,,Skardal,2,Nashua,NH,US
09446459,GERARD,,CREMER,1,,,FR
09453601,DANIEL,,ARLIE,1,PALO ALTO,CA,US
09446860,HANS,,KREITZ,1,,,
09446606,JONATHAN,L,COFFMAN,1,,,US
09446656,TORE,,GUSTAFSSON,1,,,SE
09462429,HEINZ,,MARTIN,1,,,
09445868,STEPHANE,,BALLOT,1,,,FR
09446048,MICHAEL,BLACKSHAW,KING,1,,,GB
09446137,Christian,,Klepsch,1,Seekirchen,,AT
09462456,RU-SHI,,LIU,1,,,
09403675,YUANNAN,,XIA,1,,,US
09462474,IAN,H,MATHER,1,,,US
09462541,TIMOTHY,,REYNOLDS,1,,,GB
09445269,RUEBEN,,ODER,1,,,US
09424143,PIERRE,,BURSTERT,1,,,GB
09462620,THOMAS,L,HALE,1,,,US
09462570,GEORGY,MIKHAILOVICH,ALEXEEV,1,,,
09424319,KLAUS,,FIEBACK,1,,,
09462835,JOHN,,NIELSEN,1,,,DK
09403748,PATRICK,,LARDANT,1,,,FR
09462827,GERNOT,,MAHR,1,,,
09462597,STEVEN,,LEY,1,,,
09462814,IVO,,SBALZARINI,1,,,
09463210,TRETHEWEY,,REGINALD,1,DEEPWATER,,AU
09463236,FRANCESCO,,VINTRICI AGSTINONI,1,,,
09463292,JEROME,,MERIC,1,,,
09463293,JEAN-CLAUDE,,SARFATI,1,,,
09463386,DIDIER,,JOB,1,,,
09403577,ALISDAIR,J,BROWN,1,,,
09403630,ALEXANDRE,,ROBERT,1,,,
09462476,NATHAN,M,SAKS,1,,,
09403515,HERVE,,GALLION,1,,,
09463802,SUNG,WOOK,CHO,1,,,
09403143,RICHARD,,DRISCOLL,1,,,GB
09463667,DIDIER,,JOB,1,,,
09463347,MARC,,GAGNE,1,,,
09402887,BARRY,JOHN,STURGEON,1,,,AU
09463747,MAURO,,CORTELLINI,1,,,
09485173,JUN,,SATO,1,,,
