application_number,event_code,recorded_date
03804539,SETS,2001-09-20
03804539,TMOS,2001-08-23
03804539,SRCH,2001-07-30
03804539,TMOS,1997-08-14
03804539,SRCH,1997-06-13
03804539,LFLOST,1997-06-06
03804539,LOST,1991-02-22
03804539,LOST,1991-02-21
03804539,LOST,1990-10-09
03826370,LFLOST,2006-09-11
03826370,SETS,2001-09-20
03826370,FOND,1992-12-23
03826370,TMOS,1991-06-03
03826370,SRCH,1991-05-03
03826370,LOST,1991-04-25
03826370,TMOS,1990-10-17
03826370,SRCH,1990-09-25
03826370,LOST,1990-09-25
03826370,SRCH,1990-08-30
03826370,LOST,1990-08-21
03855477,SETS,2001-09-20
03734340,LFFOUND,2003-04-10
03734340,LFLOST,2003-04-09
03734340,LFFOUND,2002-05-10
03734340,LFLOST,2002-02-07
03734340,SETS,2001-09-20
03734340,TMOS,2001-05-11
03734340,FOND,2001-05-11
03734340,SRCH,2000-12-20
03734340,LOST,2000-12-20
03734340,FOND,1992-04-27
03734340,SRCH,1992-04-23
03734340,LOST,1992-04-17
03734340,FOND,1991-07-26
03734340,TMOS,1991-04-23
03734340,SRCH,1991-03-25
03734340,LOST,1991-03-15
03734340,TMOS,1990-08-07
03734340,SRCH,1990-07-27
03734340,SRCH,1990-07-11
03734340,LOST,1990-07-09
03804540,TMOS,2001-10-26
03804540,SRCH,2001-10-09
03804540,SETS,2001-09-20
03804540,TMOS,2001-08-24
03804540,SRCH,2001-07-26
03804540,TMOS,2001-07-26
03804540,SRCH,1997-08-14
03804540,SRCH,1997-06-13
03804540,LFLOST,1997-06-05
03804540,TMOS,1994-09-08
03804540,SRCH,1994-08-12
03804540,LOST,1994-08-05
03804540,TMOS,1993-08-30
03804540,SRCH,1993-07-30
03804540,LOST,1993-07-26
03804540,TMOS,1993-02-09
03804540,SRCH,1993-01-11
03804540,LOST,1992-10-02
03804540,TMOS,1990-12-12
03804540,SRCH,1990-11-13
03804540,LOST,1990-10-09
03804540,SRCH,1990-03-13
03804540,LOST,1990-03-07
03804540,LOST,1988-07-18
03804540,TMOS,1988-05-03
03804540,SRCH,1988-03-17
03804540,LOST,1988-03-14
03804540,LOST,1988-03-07
04024882,SETS,2001-09-20
04051754,SETS,2001-09-20
03337899,SETS,2001-09-20
03337899,FOND,1996-09-23
03337899,SRCH,1996-09-12
03337899,LOST,1996-09-03
03369600,SETS,2001-09-20
03354872,SETS,2001-09-20
03831599,SETS,2001-09-20
03831599,FOND,1993-02-09
03831599,SRCH,1993-02-03
03831599,LOST,1993-01-05
03831599,N570,1990-08-20
03831599,PA..,1990-08-10
03831599,N570,1990-06-07
03831599,PA..,1990-05-24
03831599,N570,1990-01-26
03831599,PA..,1989-11-16
03831599,SRCH,1989-10-02
03831599,LOST,1989-09-21
03831599,SRCH,1985-01-03
04057904,SETS,2001-09-20
04057904,LOST,1992-08-05
04057904,FOND,1992-03-30
04057904,SRCH,1992-03-19
04057904,LOST,1992-03-09
04057904,FOND,1991-10-10
04057904,SRCH,1991-10-04
04057904,LOST,1991-09-26
04057904,TMOS,1990-03-20
04057904,SRCH,1990-02-20
04057904,LOST,1990-02-13
04003872,SETS,2001-09-20
04090173,SETS,2001-09-20
04090173,LOST,1990-10-30
04090173,TMOS,1986-05-01
04090173,SRCH,1986-05-01
04090173,SRCH,1985-02-04
04077278,SETS,2001-09-20
04077278,TMOS,1987-04-15
04077278,SRCH,1987-03-24
04077278,LOST,1987-03-24
04077278,LOST,1986-06-02
04077278,TMOS,1986-05-01
04077278,SRCH,1986-05-01
04077278,SRCH,1985-07-22
04077278,LOST,1985-03-21
04077278,SRCH,1983-03-29
04077278,LOST,1983-03-29
03002534,LFLOST,2003-10-02
03002534,SETS,2001-09-20
03336080,SETS,2001-09-20
03336080,LOST,2001-09-11
03336080,SRCH,2001-09-11
03336080,FOND,1993-02-02
03336080,LOST,1993-01-05
03336080,FOND,1992-05-28
03336080,SRCH,1992-05-28
03336080,LOST,1992-05-26
03336080,N570,1990-01-29
03336080,PA..,1989-11-16
03336080,TMOS,1987-01-15
03336080,SRCH,1986-11-20
03336080,LOST,1986-11-17
03336080,LOST,1984-09-10
03336080,LOST,1983-07-25
04127203,SETS,2001-09-20
02725687,SETS,2001-09-20
04142778,SETS,2001-09-20
04081263,SETS,2001-09-20
04136833,SETS,2001-09-20
04136833,TMOS,1986-05-01
04136833,SRCH,1986-05-01
04136833,TMOS,1986-05-01
04136833,SRCH,1986-05-01
04136833,SRCH,1985-10-22
04136833,LOST,1985-10-22
04091341,SETS,2001-09-20
04091341,TMOS,1992-11-04
04091341,SRCH,1992-10-05
04091341,SRCH,1992-08-13
04091341,LOST,1992-08-06
04091341,TMOS,1992-04-16
04091341,SRCH,1992-03-19
04091341,LOST,1992-03-09
04091341,TMOS,1990-03-16
04091341,SRCH,1990-02-21
04091341,LOST,1990-02-13
04091341,SRCH,1989-04-05
04069847,SETS,2001-09-20
04157194,SETS,2001-09-20
04177467,SETS,2001-09-20
04064835,LFFOUND,2002-09-04
04064835,SETS,2001-09-20
04064835,TMOS,2001-03-30
04064835,SRCH,2001-03-06
04064835,TMOS,2001-03-06
04064835,SRCH,2001-01-05
04064835,LFLOST,2001-01-05
04064835,FOND,2000-04-21
04064835,SRCH,2000-04-21
04064835,FOND,2000-03-23
04064835,LOST,2000-03-21
04064835,LOST,2000-03-09
04064835,FOND,1999-06-01
04064835,SRCH,1999-05-21
04064835,LOST,1999-05-21
04064835,FOND,1999-05-14
04064835,LOST,1999-05-06
04064835,LOST,1991-04-04
04064835,LOST,1990-08-08
04064835,SRCH,1990-06-26
04064835,LOST,1990-06-15
04064835,LOST,1990-02-23
